token,nre
'REPORTABLE,O
IN,O
,O
THE,COURT
SUPREME,COURT
COURT,COURT
OF,COURT
INDIA,COURT
CRIMINAL,O
APPELLATE,O
JURISDICTION,O
,O
CRIMINAL,CASE_NO
APPEAL,CASE_NO
NO.,CASE_NO
OF,CASE_NO
2009,CASE_NO
(Arising,CASE_NO
out,CASE_NO
of,CASE_NO
SLP,CASE_NO
(Crl.),CASE_NO
No.,CASE_NO
5369,CASE_NO
of,CASE_NO
2008),CASE_NO
O,
Ramchandra,PETITIONER_OR_APPELLANT
Dhondiba,PETITIONER_OR_APPELLANT
Kaware,PETITIONER_OR_APPELLANT
..,O
Appellant,O
Versus,O
,O
State,RESPONDENT
of,RESPONDENT
Maharashtra,RESPONDENT
..Respondent,O
JUDGMENT,O
,O
Dr.,JUDGE
ARIJIT,JUDGE
PASAYAT,JUDGE
",",O
J.,O
1.,O
Leave,O
granted.,O
2.,O
Challenge,O
in,O
this,O
appeal,O
is,O
to,O
the,O
judgment,O
of,O
a,O
Division,O
Bench,O
of,O
,O
the,COURT
Bombay,COURT
High,COURT
Court,COURT
dismissing,O
the,O
appeal,O
filed,O
by,O
the,O
appellant.,O
Learned,O
2nd,O
Additional,O
Sessions,O
"Judge,",O
,O
Sangli,JUDGE
",",O
had,O
convicted,O
the,O
appellant,O
for,O
offence,O
punishable,O
under,O
,O
Section,LAW
302,LAW
of,LAW
the,LAW
Indian,LAW
Penal,LAW
"Code,",LAW
1860,LAW
(in,O
1,O
short,O
the,O
‘IPC’),O
and,O
sentenced,O
to,O
,O
undergo,JUDGMENT
life,JUDGMENT
imprisonment,JUDGMENT
and,JUDGMENT
to,JUDGMENT
pay,JUDGMENT
a,JUDGMENT
fine,JUDGMENT
of,JUDGMENT
"Rs.1,000/-",JUDGMENT
with,JUDGMENT
default,JUDGMENT
stipulation,JUDGMENT
.,O
3.,O
Prosecution,O
version,O
in,O
a,O
nutshell,O
is,O
as,O
follows:,O
The,O
accused-appellant,O
and,O
one,O
,O
Shivaji,WITNESS
Baba,WITNESS
Lohar,WITNESS
who,O
was,O
working,O
with,O
,O
Keru,VICTIM
(hereinafter,O
referred,O
to,O
as,O
the,O
‘deceased’),O
were,O
on,O
inimical,O
terms.,O
,O
Shivaji,WITNESS
’s,O
sister,O
was,O
married,O
to,O
the,O
accused.,O
The,O
accused,O
had,O
borrowed,O
money,O
from,O
,O
Shivaji,WITNESS
which,O
he,O
had,O
not,O
returned.,O
The,O
accused,O
used,O
to,O
visit,O
,O
Shivaji,WITNESS
in,O
the,O
field,O
owned,O
by,O
the,O
deceased.,O
,O
Keru,VICTIM
and,O
his,O
family,O
knew,O
the,O
accused,O
and,O
would,O
often,O
give,O
him,O
agricultural,O
produce,O
from,O
their,O
lands,O
since,O
the,O
accused,O
was,O
jobless.,O
,O
Shivaji,WITNESS
demanded,O
repayment,O
of,O
the,O
loan,O
he,O
had,O
advanced,O
to,O
the,O
accused.,O
The,O
accused,O
was,O
annoyed,O
by,O
this,O
and,O
on,O
,O
3.6.2000,DATE_AND_TIME_CRIME
he,O
went,O
to,O
,O
Keru,VICTIM
’s,O
farm.,O
,O
Keru,VICTIM
was,O
asleep,O
at,O
a,O
little,O
distance,O
from,O
the,O
rest,O
of,O
the,O
members,O
of,O
his,O
family.,O
,O
Shivaji,WITNESS
was,O
sleeping,O
at,O
another,O
spot,O
on,O
the,O
"farm,",O
a,O
little,O
further,O
away,O
from,O
the,O
family.,O
The,O
accused,O
entered,O
the,O
farm,O
before,O
"daybreak,",O
at,O
about,O
,O
3,DATE_AND_TIME_CRIME
am,DATE_AND_TIME_CRIME
.,O
The,O
dogs,O
started,O
barking,O
and,O
,O
Maruti,VICTIM_ALLIES
",",O
the,O
son,O
of,O
the,O
deceased,O
saw,O
the,O
accused,O
beating,O
the,O
victim,O
with,O
a,O
,O
yoke,WEAPONS
.,O
,O
Maruti,VICTIM_ALLIES
alerted,O
,O
Shivaji,WITNESS
and,O
they,O
chased,O
the,O
"accused,",O
but,O
he,O
managed,O
to,O
escape,O
their,O
clutches.,O
,O
Maruti,VICTIM_ALLIES
and,O
,O
Shivaji,WITNESS
returned,O
to,O
the,O
spot,O
where,O
the,O
victim,O
was,O
lying.,O
They,O
found,O
that,O
his,O
skull,O
had,O
been,O
fractured,O
and,O
a,O
part,O
of,O
his,O
brain,O
was,O
protruding.,O
Three,O
fingers,O
of,O
his,O
right,O
hand,O
were,O
fractured,O
and,O
2,O
broken.,O
His,O
head,O
and,O
ears,O
were,O
bleeding.,O
,O
Maruti,VICTIM_ALLIES
lodged,O
a,O
complaint,O
with,O
the,O
police.,O
The,O
dead,O
body,O
of,O
,O
Keru,VICTIM
was,O
taken,O
for,O
the,O
autopsy.,O
The,O
required,O
panchanamas,O
were,O
drawn,O
up,O
and,O
statements,O
of,O
witnesses,O
were,O
recorded.,O
The,O
accused,O
was,O
apprehended,O
and,O
charged,O
for,O
having,O
committed,O
an,O
offence,O
punishable,O
under,O
,O
"section,",LAW
302,LAW
IPC,LAW
.,O
His,O
trial,O
was,O
committed,O
to,O
Sessions.,O
,O
The,COURT
Sessions,COURT
Court,COURT
after,O
consideration,O
of,O
the,O
evidence,O
on,O
record,O
as,O
noted,O
above,O
convicted,O
the,O
accused.,O
Before,O
,O
the,COURT
High,COURT
Court,COURT
the,O
only,O
stand,O
was,O
that,O
the,O
evidence,O
of,O
the,O
so,O
called,O
eye,O
witnesses,O
PWs,O
1,O
and,O
4,O
cannot,O
be,O
relied,O
upon.,O
It,O
was,O
also,O
submitted,O
that,O
a,O
case,O
under,O
,O
Section,LAW
302,LAW
IPC,LAW
was,O
not,O
made,O
out.,O
,O
The,COURT
High,COURT
Court,COURT
found,O
no,O
substance,O
in,O
the,O
plea,O
and,O
dismissed,O
the,O
appeal,O
as,O
afore-,O
noted.,O
4.,O
The,O
stand,O
taken,O
before,O
,O
the,COURT
High,COURT
Court,COURT
was,O
re-iterated,O
in,O
the,O
present,O
appeal.,O
5.,O
The,O
evidence,O
of,O
PWs,O
1,O
and,O
4,O
does,O
not,O
suffer,O
from,O
any,O
infirmity.,O
PW-,O
1,O
has,O
categorically,O
stated,O
that,O
he,O
was,O
awakened,O
by,O
the,O
barking,O
of,O
dogs.,O
He,O
heard,O
the,O
sound,O
of,O
somebody,O
being,O
beaten.,O
He,O
saw,O
the,O
incident,O
in,O
the,O
light,O
from,O
a,O
lantern,O
when,O
the,O
accused,O
was,O
hitting,O
his,O
father,O
on,O
the,O
head,O
with,O
a,O
3,O
,O
yoke,WEAPONS
.,O
The,O
witness,O
claimed,O
to,O
have,O
chased,O
the,O
accused,O
but,O
could,O
not,O
catch,O
him.,O
The,O
evidence,O
of,O
"PW-4,",O
the,O
widow,O
was,O
to,O
the,O
similar,O
effect.,O
Both,O
the,O
trial,O
Court,O
and,O
,O
the,COURT
High,COURT
Court,COURT
have,O
referred,O
to,O
the,O
evidence,O
in,O
great,O
detail,O
and,O
found,O
that,O
their,O
evidence,O
is,O
credible,O
and,O
cogent,O
and,O
unerringly,O
points,O
at,O
the,O
accused,O
to,O
be,O
author,O
of,O
the,O
crime.,O
The,O
other,O
question,O
is,O
regarding,O
applicability,O
of,O
,O
Section,LAW
302,LAW
IPC,LAW
.,O
It,O
appears,O
that,O
the,O
accused,O
and,O
the,O
deceased,O
were,O
in,O
inimical,O
terms.,O
Only,O
one,O
blow,O
was,O
given,O
with,O
the,O
,O
yoke,WEAPONS
in,O
the,O
night.,O
PW-4,O
has,O
categorically,O
admitted,O
that,O
it,O
was,O
"dark,",O
but,O
he,O
identified,O
the,O
accused,O
because,O
he,O
was,O
known,O
to,O
him.,O
Number,O
of,O
injuries,O
is,O
always,O
not,O
a,O
determinative,O
factor,O
regarding,O
applicability,O
of,O
,O
Section,LAW
302,LAW
IPC,LAW
.,O
The,O
nature,O
of,O
the,O
"weapon,",O
place,O
where,O
it,O
was,O
struck,O
and,O
several,O
other,O
relevant,O
factors,O
throw,O
light,O
on,O
this,O
aspect.,O
Considering,O
the,O
background,O
facts,O
of,O
the,O
present,O
case,O
according,O
to,O
us,O
the,O
appropriate,O
conviction,O
would,O
be,O
under,O
,O
Section,LAW
304,LAW
Part,LAW
I,LAW
IPC,LAW
.,O
,O
Custodial,JUDGMENT
sentence,JUDGMENT
of,JUDGMENT
10,JUDGMENT
years,JUDGMENT
would,O
meet,O
the,O
ends,O
of,O
justice.,O
6.,O
The,O
appeal,O
is,O
allowed,O
to,O
the,O
aforesaid,O
extent.,O
…………………………………….J.,O
(,O
Dr.,JUDGE
ARIJIT,JUDGE
PASAYAT,JUDGE
),O
4,O
……………………………………J.,O
(,O
ASOK,JUDGE
KUMAR,JUDGE
GANGULY,JUDGE
),O
,O
New,LOC_OF_JUDGMENT
Delhi,LOC_OF_JUDGMENT
",",O
,O
January,DATE_OF_JUDGMENT
"27,",DATE_OF_JUDGMENT
2009,DATE_OF_JUDGMENT
5',O
