token,nre
"""Reportable",O
IN,O
,O
THE,COURT
SUPREME,COURT
COURT,COURT
OF,COURT
INDIA,COURT
CRIMINAL,O
APPELLATE,O
JURISDICTION,O
,O
CRIMINAL,CASE_NO
APPEAL,CASE_NO
No.1683,CASE_NO
OF,CASE_NO
2015,CASE_NO
(Arising,CASE_NO
out,CASE_NO
of,CASE_NO
S.L.P.(Crl.)No.,CASE_NO
2372,CASE_NO
of,CASE_NO
2015),CASE_NO
O,
Ruchika,PETITIONER_OR_APPELLANT
Abbi,PETITIONER_OR_APPELLANT
&,PETITIONER_OR_APPELLANT
Anr.,PETITIONER_OR_APPELLANT
………Appellant(s),O
VERSUS,O
,O
State,RESPONDENT
of,RESPONDENT
National,RESPONDENT
Capital,RESPONDENT
Territory,RESPONDENT
of,RESPONDENT
Delhi,RESPONDENT
&,RESPONDENT
Anr.,RESPONDENT
………Respondent(s),O
WITH,O
,O
CONTEMPT,PETITION-DETAILS
PETITION,PETITION-DETAILS
(C),PETITION-DETAILS
No.,PETITION-DETAILS
382/2015,PETITION-DETAILS
In,PETITION-DETAILS
S.L.P.,PETITION-DETAILS
(CRL.),PETITION-DETAILS
NO.,PETITION-DETAILS
2372/2015,PETITION-DETAILS
ORDER,O
,O
Abhay,JUDGE
Manohar,JUDGE
Sapre,JUDGE
",",O
J.,O
(1),O
Leave,O
granted.,O
(2),O
This,O
appeal,O
is,O
filed,O
against,O
the,O
final,O
judgment,O
and,O
order,O
dated,O
07.11.2014,O
passed,O
by,O
,O
the,COURT
High,COURT
Court,COURT
of,COURT
Delhi,COURT
at,O
,O
New,LOC_OF_JUDGMENT
Delhi,LOC_OF_JUDGMENT
in,O
,O
Writ,CITATION
Petition,CITATION
(Criminal),CITATION
No.,CITATION
1735,CITATION
of,CITATION
2014,CITATION
whereby,O
,O
the,COURT
High,COURT
Court,COURT
disposed,O
of,O
the,O
Habeas,O
Corpus,O
writ,O
petition,O
filed,O
by,O
the,O
appellant,O
herein,O
for,O
the,O
production,O
and,O
return,O
of,O
the,O
minor,O
daughter,O
by,O
issuing,O
directions.,O
1,O
Page,O
1,O
3),O
It,O
is,O
not,O
necessary,O
to,O
set,O
out,O
the,O
facts,O
of,O
the,O
case,O
in,O
detail,O
except,O
to,O
state,O
that,O
the,O
dispute,O
which,O
revolves,O
around,O
between,O
the,O
parties,O
(wife-appellant,O
herein,O
and,O
husband-respondent,O
no.,O
2,O
herein),O
is,O
essentially,O
in,O
relation,O
to,O
the,O
custody,O
of,O
their,O
minor,O
daughter-,O
Roshni,VICTIM
.,O
4),O
So,O
far,O
as,O
this,O
appeal,O
is,O
"concerned,",O
as,O
mentioned,O
"above,",O
it,O
arises,O
out,O
of,O
final,O
judgment,O
and,O
order,O
dated,O
07.11.2014,O
passed,O
by,O
,O
the,COURT
High,COURT
Court,COURT
of,COURT
Delhi,COURT
at,O
,O
New,LOC_OF_JUDGMENT
Delhi,LOC_OF_JUDGMENT
in,O
a,O
habeas,O
corpus,O
,O
petition,PETITION-DETAILS
bearing,PETITION-DETAILS
W.P.(Crl.),PETITION-DETAILS
No.,PETITION-DETAILS
1735,PETITION-DETAILS
of,PETITION-DETAILS
2014,PETITION-DETAILS
filed,O
by,O
the,O
wife,O
against,O
her,O
husband,O
seeking,O
production,O
and,O
return,O
of,O
her,O
minor,O
daughter,O
and,O
praying,O
for,O
some,O
consequential,O
reliefs,O
therein.,O
,O
The,COURT
High,COURT
Court,COURT
",",O
by,O
impugned,O
"judgment,",O
disposed,O
of,O
the,O
writ,O
petition,O
inter,O
alia,O
directing,O
the,O
Family,O
Court,O
to,O
dispose,O
of,O
the,O
main,O
custody,O
case.,O
5),O
This,O
"Court,",O
during,O
the,O
pendency,O
of,O
the,O
"proceedings,",O
had,O
passed,O
some,O
interim,O
orders,O
regarding,O
temporary,O
custody,O
of,O
the,O
child.,O
2,O
Page,O
2,O
6),O
Heard,O
,O
Mrs.,ADVOCATE
Nitya,ADVOCATE
Ramakrishnan,ADVOCATE
",",O
learned,O
counsel,O
for,O
the,O
"appellant,",O
,O
Mr.,ADVOCATE
Jagjit,ADVOCATE
Singh,ADVOCATE
",",O
learned,O
counsel,O
for,O
respondent,O
No.1,O
and,O
,O
Mr.,ADVOCATE
P.K.,ADVOCATE
"Dey,",ADVOCATE
learned,O
counsel,O
for,O
respondent,O
No.2.,O
7),O
Having,O
heard,O
the,O
learned,O
counsel,O
for,O
the,O
parties,O
and,O
having,O
interacting,O
with,O
the,O
"child,",O
we,O
feel,O
that,O
it,O
would,O
be,O
just,O
and,O
proper,O
to,O
direct,O
the,O
Family,O
"Court,",O
which,O
has,O
seized,O
of,O
the,O
main,O
custody,O
case,O
(,O
Guardianship,CITATION
Case,CITATION
No.,CITATION
115/2014,CITATION
),O
to,O
dispose,O
of,O
the,O
pending,O
main,O
"case,",O
"i.e.,",O
,O
Guardianship,CITATION
Case,CITATION
No.,CITATION
115/2014,CITATION
",",O
on,O
merits,O
preferably,O
within,O
six,O
months,O
as,O
an,O
outer,O
limit,O
strictly,O
in,O
accordance,O
with,O
law,O
keeping,O
in,O
view,O
the,O
paramount,O
interest,O
and,O
welfare,O
of,O
the,O
child,O
and,O
all,O
relevant,O
factors,O
necessary,O
for,O
deciding,O
the,O
custody,O
of,O
minor,O
child,O
uninfluenced,O
by,O
any,O
of,O
our,O
observations.,O
8),O
During,O
the,O
pendency,O
of,O
the,O
main,O
custody,O
"case,",O
the,O
temporary,O
custody,O
of,O
the,O
child-,O
Roshni,VICTIM
will,O
be,O
with,O
the,O
respondent,O
no.,O
2,O
-,O
i.e.,O
husband/father.,O
The,O
respondent,O
no.,O
2,O
will,O
drop,O
the,O
child,O
on,O
every,O
3,O
Page,O
3,O
Saturday,O
by,O
6.00,O
pm.,O
at,O
the,O
petitioner’s,O
residence,O
and,O
collect,O
the,O
child,O
by,O
6.00,O
pm.,O
on,O
the,O
next,O
day,O
(Sunday).,O
9),O
We,O
"hope,",O
trust,O
and,O
expect,O
from,O
the,O
appellant,O
and,O
respondent,O
no.,O
2,O
to,O
cooperate,O
with,O
each,O
other,O
for,O
the,O
sake,O
of,O
their,O
minor,O
child's,O
welfare,O
and,O
taking,O
advantage,O
of,O
temporary,O
custody,O
of,O
the,O
child,O
not,O
to,O
influence,O
her,O
innocent,O
mind,O
by,O
tutoring,O
her,O
and,O
create,O
hatred,O
against,O
others,O
for,O
their,O
personal,O
interest-a,O
"fact,",O
which,O
we,O
unfortunately,O
noticed,O
while,O
interacting,O
with,O
the,O
child,O
on,O
two,O
occasions.,O
"Indeed,",O
we,O
feel,O
that,O
such,O
attempt,O
on,O
their,O
part,O
and,O
"especially,",O
respondent,O
no.,O
2,O
may,O
do,O
more,O
harm,O
to,O
the,O
child,O
in,O
long,O
run.,O
10),O
In,O
our,O
"view,",O
both,O
parties,O
being,O
young,O
and,O
highly,O
educated,O
should,O
realize,O
such,O
things,O
for,O
the,O
welfare,O
of,O
their,O
own,O
child,O
and,O
make,O
sincere,O
efforts,O
to,O
come,O
to,O
mutual,O
terms,O
so,O
that,O
every,O
one,O
is,O
able,O
to,O
live,O
happily,O
and,O
enjoy,O
family,O
life.,O
Such,O
"steps,",O
if,O
"taken,",O
will,O
always,O
be,O
in,O
the,O
interest,O
of,O
everyone,O
4,O
Page,O
4,O
including,O
the,O
child,O
who,O
needs,O
"protection,",O
"guidance,",O
"care,",O
love,O
and,O
affection,O
of,O
both,O
mother,O
and,O
"father,",O
who,O
were,O
responsible,O
to,O
bring,O
her,O
in,O
this,O
world.,O
11),O
"We,",O
"therefore,",O
direct,O
the,O
Family,O
Court,O
to,O
hold,O
regular,O
sittings,O
for,O
reconciliation,O
during,O
the,O
pendency,O
of,O
the,O
custody,O
case,O
and,O
if,O
considers,O
necessary,O
for,O
the,O
welfare,O
and,O
interest,O
of,O
the,O
child,O
pass,O
any,O
interim,O
orders,O
till,O
final,O
disposal,O
of,O
the,O
custody,O
case.,O
12),O
With,O
these,O
"directions,",O
the,O
appeal,O
stands,O
disposed,O
of,O
finally.,O
13),O
In,O
the,O
light,O
of,O
the,O
order,O
passed,O
hereinabove,O
in,O
the,O
"appeal,",O
no,O
orders,O
are,O
required,O
in,O
the,O
contempt,O
petition.,O
…….….,O
……............................J.,O
[,O
J.,JUDGE
CHELAMESWAR,JUDGE
],O
…………..................................J.,O
[,O
ABHAY,JUDGE
MANOHAR,JUDGE
SAPRE,JUDGE
],O
,O
New,LOC_OF_JUDGMENT
Delhi,LOC_OF_JUDGMENT
;,O
,O
December,DATE_OF_JUDGMENT
"09,",DATE_OF_JUDGMENT
2015,DATE_OF_JUDGMENT
.,O
5,O
Page,O
"5""",O
