token,nre
"""IN",O
,O
THE,COURT
SUPREME,COURT
COURT,COURT
OF,COURT
INDIA,COURT
CRIMINAL,O
APPELLATE,O
JURISDICTION,O
,O
CRIMINAL,CASE_NO
APPEAL,CASE_NO
NO.,CASE_NO
682,CASE_NO
OF,CASE_NO
2009,CASE_NO
(Arising,CASE_NO
out,CASE_NO
of,CASE_NO
SLP(Crl.),CASE_NO
No.,CASE_NO
5823/2008),CASE_NO
O,
Dalip,PETITIONER_OR_APPELLANT
Babulal,PETITIONER_OR_APPELLANT
Tapadia,PETITIONER_OR_APPELLANT
..,O
Appellant(s),O
Versus,O
,O
State,RESPONDENT
of,RESPONDENT
Maharashtra,RESPONDENT
..,O
Respondent(s),O
ORDER,O
Leave,O
granted.,O
This,O
appeal,O
is,O
directed,O
against,O
order,O
dated,O
21st,O
"July,",O
2008,O
passed,O
by,O
,O
the,COURT
High,COURT
Court,COURT
of,COURT
Judicature,COURT
at,COURT
Bombay,COURT
in,O
,O
Criminal,CASE_NO
Appeal,CASE_NO
No.,CASE_NO
874,CASE_NO
of,CASE_NO
2008,CASE_NO
.,O
By,O
the,O
impugned,O
"order,",O
,O
the,COURT
High,COURT
Court,COURT
has,O
declined,O
to,O
extend,O
to,O
the,O
appellant,O
the,O
protection,O
of,O
anticipatory,O
bail,O
under,O
,O
Section,LAW
438,LAW
of,LAW
the,LAW
Code,LAW
of,LAW
Criminal,LAW
"Procedure,",LAW
1973,LAW
",",O
in,O
FIR,O
No.,O
48,O
of,O
"2008,",O
filed,O
in,O
,O
Deccan,POLICE
Police,POLICE
Station,POLICE
",",O
Pune,O
under,O
,O
Sections,LAW
"420,",LAW
"467,",LAW
"468,",LAW
471,LAW
read,LAW
with,LAW
Sections,LAW
34,LAW
and,LAW
511,LAW
of,LAW
the,LAW
Indian,LAW
Penal,LAW
Code,LAW
.,O
By,O
virtue,O
of,O
the,O
said,O
"order,",O
,O
the,COURT
High,COURT
Court,COURT
had,O
directed,O
the,O
appellant,O
to,O
surrender,O
before,O
the,O
Trial,O
Court,O
by,O
31st,O
"July,",O
2008.,O
When,O
the,O
matter,O
came,O
up,O
before,O
the,O
learned,O
Chamber,O
Judge,O
on,O
6th,O
"August,",O
"2008,",O
application,O
filed,O
by,O
the,O
appellant,O
for,O
exemption,O
from,O
surrendering,O
was,O
dismissed,O
as,O
not,O
maintainable,O
as,O
the,O
appellant,O
had,O
only,O
been,O
denied,O
the,O
privilege,O
of,O
anticipatory,O
bail.,O
..2/-,O
CA,O
682/2009...contd..,O
:2:,O
No,O
one,O
appears,O
on,O
behalf,O
of,O
the,O
State.,O
"Accordingly,",O
we,O
have,O
heard,O
learned,O
counsel,O
for,O
the,O
appellant,O
and,O
the,O
de,O
facto,O
complainant.,O
It,O
is,O
submitted,O
by,O
learned,O
counsel,O
for,O
the,O
appellant,O
that,O
as,O
per,O
his,O
instructions,O
investigation,O
in,O
the,O
complaint,O
are,O
complete,O
and,O
shortly,O
the,O
prosecution,O
is,O
likely,O
to,O
take,O
further,O
steps,O
in,O
the,O
matter.,O
Having,O
regard,O
to,O
the,O
facts,O
and,O
circumstances,O
of,O
the,O
case,O
and,O
bearing,O
in,O
mind,O
the,O
fact,O
that,O
F.I.R.,O
was,O
lodged,O
as,O
far,O
back,O
as,O
in,O
January,O
2008,O
and,O
so,O
far,O
no,O
action,O
has,O
been,O
taken,O
against,O
the,O
appellant,O
despite,O
rejection,O
of,O
his,O
prayer,O
for,O
anticipatory,O
bail,O
in,O
July,O
"2008,",O
and,O
further,O
there,O
is,O
no,O
allegation,O
against,O
him,O
regarding,O
non-cooperation,O
in,O
the,O
"investigation,",O
we,O
dispose,O
of,O
the,O
appeal,O
with,O
the,O
direction,O
that,O
in,O
the,O
event,O
of,O
filing,O
of,O
charge,O
sheet,O
against,O
the,O
appellant,O
and,O
on,O
being,O
informed,O
by,O
the,O
Public,O
Prosecutor,O
about,O
the,O
filing,O
of,O
charge,O
"sheet,",O
he,O
shall,O
surrender,O
before,O
the,O
trial,O
Court,O
and,O
apply,O
for,O
regular,O
bail.,O
It,O
goes,O
without,O
saying,O
that,O
the,O
application,O
of,O
the,O
appellant,O
for,O
grant,O
of,O
regular,O
bail,O
shall,O
be,O
considered,O
in,O
its,O
correct,O
perspective,O
in,O
accordance,O
with,O
law.,O
"However,",O
if,O
the,O
investigations,O
are,O
still,O
"incomplete,",O
in,O
the,O
event,O
of,O
his,O
arrest,O
he,O
shall,O
be,O
..3/-,O
CA,O
630/2009...contd..,O
:3:,O
admitted,O
to,O
bail,O
on,O
his,O
furnishing,O
personal,O
bond,O
in,O
the,O
sum,O
of,O
Rs.,O
"20,000/-",O
with,O
one,O
surety,O
in,O
the,O
like,O
amount,O
to,O
the,O
satisfaction,O
of,O
the,O
Investigating,O
"Officer,",O
which,O
will,O
continue,O
to,O
be,O
in,O
force,O
till,O
appropriate,O
orders,O
are,O
passed,O
on,O
appellant's,O
application,O
for,O
regular,O
bail.,O
Before,O
"closing,",O
we,O
may,O
note,O
that,O
it,O
has,O
been,O
brought,O
to,O
our,O
notice,O
that,O
yet,O
another,O
FIR,O
being,O
No.,O
207,O
of,O
2008,O
has,O
been,O
filed,O
against,O
the,O
appellant,O
on,O
25th,O
"June,",O
2008,O
in,O
the,O
same,O
Police,O
Station.,O
We,O
clarify,O
that,O
this,O
order,O
will,O
have,O
no,O
bearing,O
"whatsoever,",O
insofar,O
as,O
the,O
said,O
FIR,O
is,O
concerned.,O
...................J.,O
[,O
,O
D.K.,JUDGE
JAIN,JUDGE
],O
...................J.,O
[,O
,O
R.M.,JUDGE
LODHA,JUDGE
],O
,O
NEW,LOC_OF_JUDGMENT
DELHI,LOC_OF_JUDGMENT
",",O
,O
APRIL,DATE_OF_JUDGMENT
"09,",DATE_OF_JUDGMENT
2009,DATE_OF_JUDGMENT
".""",O
