token,nre
"""",O
Crl.A.,CASE_NO
No.,CASE_NO
2121/2010,CASE_NO
@,CASE_NO
SLP(Crl.),CASE_NO
No.,CASE_NO
7520,CASE_NO
of,CASE_NO
2009,CASE_NO
1,O
IN,O
,O
THE,COURT
SUPREME,COURT
COURT,COURT
OF,COURT
INDIA,COURT
CRIMINAL,O
APPELLATE,O
JURISDICTION,O
,O
CRIMINAL,CASE_NO
APPEAL,CASE_NO
NO.,CASE_NO
2121,CASE_NO
OF,CASE_NO
2010,CASE_NO
ARISING,CASE_NO
OUT,CASE_NO
OF,CASE_NO
SLP,CASE_NO
(CRL.),CASE_NO
NO.,CASE_NO
7520,CASE_NO
OF,CASE_NO
2009,CASE_NO
P.,O
,O
UDAY,PETITIONER_OR_APPELLANT
KUMAR,PETITIONER_OR_APPELLANT
.....,O
APPELLANT,O
VERSUS,O
,O
STATE,RESPONDENT
OF,RESPONDENT
JHARKHAND,RESPONDENT
&,RESPONDENT
ANR.,RESPONDENT
.....,O
RESPONDENTS,O
O,O
R,O
D,O
E,O
R,O
1.,O
"Accused,",O
aggrieved,O
by,O
the,O
order,O
dated,O
27th,O
"March,",O
"2009,",O
passed,O
by,O
the,O
,O
Jharkhand,COURT
High,COURT
Court,COURT
in,O
,O
Criminal,CASE_NO
Revision,CASE_NO
No.,CASE_NO
634,CASE_NO
of,CASE_NO
2008,CASE_NO
refusing,O
to,O
set,O
aside,O
the,O
order,O
dated,O
29th,O
"July,",O
"2008,",O
passed,O
by,O
the,O
Judicial,O
"Magistrate,",O
First,O
"Class,",O
Bermo,O
at,O
Tenughat,O
in,O
G.R.,O
No.,O
441,O
of,O
2007,O
whereby,O
the,O
application,O
filed,O
for,O
discharge,O
had,O
been,O
"rejected,",O
has,O
preferred,O
this,O
petition,O
for,O
granting,O
leave..,O
2.,O
Leave,O
granted.,O
3.,O
Short,O
facts,O
giving,O
rise,O
to,O
the,O
present,O
appeal,O
are,O
that,O
the,O
complainant,O
who,O
is,O
respondent,O
No.,O
2,O
herein,O
filed,O
a,O
petition,O
of,O
complaint,O
in,O
the,O
Court,O
of,O
Additional,O
Chief,O
Judicial,O
"Magistrate,",O
"Bermo,",O
"Tenughat,",O
inter,O
"alia,",O
alleging,O
that,O
the,O
complainant,O
is,O
the,O
Project,O
Director,O
of,O
Power,O
Mech,O
Project,O
Private,O
Limited,O
and,O
Managing,O
Director,O
of,O
Manne,O
Project,O
Private,O
Limited.,O
A,O
contract,O
for,O
,O
Crl.A.,CASE_NO
No.,CASE_NO
2121/2010,CASE_NO
@,CASE_NO
SLP(Crl.),CASE_NO
No.,CASE_NO
7520,CASE_NO
of,CASE_NO
2009,CASE_NO
2,O
construction,O
of,O
work,O
of,O
second,O
unit,O
of,O
D.V.C.,O
at,O
Chandrapura,O
was,O
allotted,O
to,O
BHEL,O
"Company,",O
which,O
in,O
turn,O
assigned,O
the,O
work,O
to,O
the,O
aforesaid,O
Power,O
Mech,O
Project,O
Private,O
Limited,O
as,O
petty,O
contractor.,O
According,O
to,O
the,O
complainant,O
he,O
had,O
appointed,O
the,O
appellant,O
as,O
its,O
petty,O
contractor.,O
Appellant,O
commenced,O
his,O
work,O
but,O
disclosed,O
to,O
the,O
complainant,O
that,O
he,O
is,O
facing,O
problem,O
in,O
executing,O
the,O
work,O
due,O
to,O
insufficiency,O
of,O
funds,O
"and,",O
"therefore,",O
demanded,O
money,O
from,O
him,O
with,O
the,O
promise,O
that,O
the,O
amount,O
will,O
be,O
adjusted,O
at,O
the,O
time,O
of,O
settlement,O
of,O
the,O
account.,O
"Accordingly,",O
complainant,O
gave,O
a,O
total,O
sum,O
of,O
Rs.,O
"11,45,714/-",O
on,O
different,O
dates,O
as,O
loan,O
through,O
cheques,O
so,O
that,O
the,O
work,O
is,O
expeditiously,O
completed.,O
The,O
appellant,O
after,O
receipt,O
of,O
the,O
amount,O
proceeded,O
to,O
execute,O
the,O
work,O
and,O
when,O
the,O
required,O
progress,O
was,O
not,O
made,O
the,O
complainant,O
asked,O
the,O
appellant,O
to,O
return,O
the,O
"amount,",O
in,O
case,O
he,O
is,O
not,O
interested,O
in,O
executing,O
the,O
work.,O
Despite,O
"promise,",O
the,O
appellant,O
did,O
not,O
return,O
the,O
amount.,O
4.,O
On,O
the,O
basis,O
of,O
the,O
complaint,O
"laid,",O
the,O
learned,O
Magistrate,O
took,O
cognizance,O
of,O
offence,O
under,O
,O
Section,LAW
406,LAW
of,LAW
the,LAW
Indian,LAW
Penal,LAW
Code,LAW
.,O
The,O
complaint,O
was,O
referred,O
to,O
the,O
police,O
for,O
investigating,O
under,O
,O
Section,LAW
156(3),LAW
of,LAW
the,LAW
Code,LAW
of,LAW
Criminal,LAW
Procedure,LAW
and,O
on,O
that,O
basis,O
FIR,O
No.,O
26,O
of,O
2007,O
was,O
lodged,O
under,O
,O
Section,LAW
420,LAW
and,LAW
406,LAW
of,O
the,O
,O
Crl.A.,CASE_NO
No.,CASE_NO
2121/2010,CASE_NO
@,CASE_NO
SLP(Crl.),CASE_NO
No.,CASE_NO
7520,CASE_NO
of,CASE_NO
2009,CASE_NO
3,O
,O
Indian,LAW
Penal,LAW
Code,LAW
.,O
Police,O
after,O
investigation,O
submitted,O
charge,O
sheet,O
under,O
,O
Sections,LAW
406,LAW
and,LAW
420,LAW
of,LAW
the,LAW
Indian,LAW
Penal,LAW
Code,LAW
and,O
the,O
appellant,O
was,O
summoned,O
to,O
face,O
the,O
trial.,O
5.,O
During,O
the,O
trial,O
appellant,O
filed,O
an,O
application,O
for,O
discharge,O
under,O
,O
Section,LAW
239,LAW
of,LAW
the,LAW
Code,LAW
of,LAW
Criminal,LAW
Procedure,LAW
and,O
the,O
learned,O
Magistrate,O
by,O
order,O
dated,O
29th,O
"July,",O
"2008,",O
directed,O
for,O
framing,O
of,O
the,O
charge,O
under,O
,O
Section,LAW
406,LAW
of,LAW
the,LAW
Indian,LAW
Penal,LAW
Code,LAW
and,O
while,O
doing,O
"so,",O
it,O
was,O
observed,O
that,O
no,O
offence,O
under,O
,O
Section,LAW
420,LAW
of,LAW
the,LAW
Indian,LAW
Penal,LAW
Code,LAW
is,O
made,O
out.,O
Appellant,O
herein,O
aggrieved,O
by,O
the,O
"same,",O
preferred,O
revision,O
application,O
before,O
,O
the,COURT
High,COURT
Court,COURT
which,O
has,O
been,O
dismissed,O
by,O
the,O
impugned,O
order.,O
6.,O
,O
Mr.,ADVOCATE
Shree,ADVOCATE
Prakash,ADVOCATE
Sinha,ADVOCATE
",",O
learned,O
Counsel,O
appearing,O
on,O
behalf,O
of,O
the,O
appellant,O
submits,O
that,O
according,O
to,O
the,O
complainant,O
"itself,",O
the,O
amount,O
was,O
given,O
to,O
the,O
appellant,O
as,O
loan,O
for,O
executing,O
the,O
contract,O
work,O
"and,",O
"therefore,",O
the,O
ingredients,O
of,O
,O
Section,LAW
405,O
of,O
the,O
,O
Indian,LAW
Penal,LAW
Code,LAW
so,O
as,O
to,O
make,O
the,O
offence,O
punishable,O
under,O
,O
