token,nre
"""IN",O
,O
THE,COURT
SUPREME,COURT
COURT,COURT
OF,COURT
INDIA,COURT
CRIMINAL,O
APPELLATE,O
JURISDICTION,O
,O
CRIMINAL,CASE_NO
APPEAL,CASE_NO
NO.847,CASE_NO
OF,CASE_NO
2008,CASE_NO
(Arising,CASE_NO
out,CASE_NO
of,CASE_NO
SLP(Crl.)No.3833,CASE_NO
of,CASE_NO
2007),CASE_NO
O,
MANOJ,PETITIONER_OR_APPELLANT
SINGH,PETITIONER_OR_APPELLANT
APPELLANT(S),O
Versus,O
,O
STATE,RESPONDENT
OF,RESPONDENT
RAJASTHAN,RESPONDENT
&,RESPONDENT
ANR.,RESPONDENT
RESPONDENT(S),O
ORDER,O
We,O
have,O
heard,O
learned,O
counsel,O
for,O
the,O
parties,O
and,O
perused,O
the,O
record.,O
Leave,O
granted.,O
This,O
appeal,O
by,O
special,O
leave,O
is,O
directed,O
against,O
the,O
order,O
dated,O
25th,O
"April,",O
2007,O
passed,O
by,O
the,O
learned,O
Single,O
Judge,O
of,O
,O
the,COURT
High,COURT
Court,COURT
of,COURT
Judicature,COURT
for,COURT
Rajasthan,COURT
at,O
Jaipur,O
"Bench,",O
Jaipur,O
in,O
S.B.,O
,O
Criminal,PETITION-DETAILS
Misc.,PETITION-DETAILS
Petition,PETITION-DETAILS
No.2393,PETITION-DETAILS
of,PETITION-DETAILS
2006,PETITION-DETAILS
filed,O
under,O
,O
Section,LAW
482,LAW
of,LAW
the,LAW
Criminal,LAW
Procedure,LAW
Code,LAW
(Cr.P.C.),O
for,O
quashing,O
of,O
the,O
FIR,O
No.553,O
of,O
2006,O
registered,O
at,O
,O
Police,POLICE
"Station,",POLICE
"Mathuragate,",POLICE
Bharatpur,POLICE
.,O
The,O
learned,O
Single,O
Judge,O
without,O
expressing,O
any,O
opinion,O
on,O
the,O
merits,O
of,O
the,O
matter,O
dismissed,O
the,O
petition,O
after,O
perusing,O
the,O
statement,O
of,O
prosecutrix,O
recorded,O
under,O
,O
Section,LAW
164,LAW
Cr.P.C.,LAW
...2/-,O
-2-,O
We,O
have,O
gone,O
through,O
the,O
statement,O
recorded,O
under,O
,O
Section,LAW
164,LAW
Cr.P.C.,LAW
of,O
prosecutrix,O
and,O
also,O
rest,O
of,O
the,O
record.,O
The,O
girl,O
is,O
21,O
years,O
of,O
age,O
and,O
she,O
has,O
gone,O
with,O
the,O
boy,O
in,O
"January,",O
2006,O
and,O
the,O
marriage,O
was,O
solemnised,O
at,O
Jaipur.,O
Thereafter,O
she,O
had,O
also,O
gone,O
for,O
honeymoon,O
with,O
the,O
boy.,O
In,O
"November,",O
2006,O
she,O
has,O
made,O
a,O
statement,O
under,O
,O
Section,LAW
164,LAW
Cr.P.C.,LAW
saying,O
that,O
she,O
has,O
been,O
drugged,O
and,O
forced,O
to,O
go,O
into,O
the,O
marriage.,O
This,O
statement,O
appears,O
to,O
be,O
not,O
acceptable,O
for,O
simple,O
reason,O
that,O
if,O
a,O
grown,O
up,O
girl,O
of,O
21,O
years,O
of,O
age,O
has,O
gone,O
with,O
the,O
"boy,",O
it,O
was,O
her,O
voluntary,O
choice.,O
Now,O
"she,",O
after,O
eleven,O
"months,",O
turned,O
back,O
and,O
says,O
that,O
she,O
was,O
drugged,O
or,O
she,O
has,O
been,O
forced,O
to,O
go,O
into,O
the,O
marriage,O
looks,O
to,O
be,O
unbelievable,O
on,O
the,O
face,O
of,O
it.,O
"Therefore,",O
we,O
are,O
of,O
the,O
opinion,O
that,O
the,O
view,O
taken,O
by,O
the,O
learned,O
Single,O
Judge,O
of,O
,O
the,COURT
High,COURT
Court,COURT
cannot,O
be,O
sustained.,O
...3/-,O
-3-,O
"Consequently,",O
we,O
allow,O
this,O
"appeal,",O
set,O
aside,O
the,O
Order,O
dated,O
25th,O
"April,",O
2007,O
passed,O
by,O
the,O
learned,O
Single,O
Judge,O
of,O
,O
the,COURT
High,COURT
Court,COURT
and,O
quash,O
the,O
F.I.R.,O
No.,O
553,O
of,O
2006,O
registered,O
at,O
,O
Police,POLICE
"Station,",POLICE
"Mathuragate,",POLICE
Bharatpur,POLICE
.,O
The,O
appeal,O
is,O
"accordingly,",O
allowed.,O
..................J.,O
(,O
A.K.MATHUR,JUDGE
),O
..................J.,O
(,O
AFTAB,JUDGE
ALAM,JUDGE
),O
,O
New,LOC_OF_JUDGMENT
Delhi,LOC_OF_JUDGMENT
",",O
,O
May,DATE_OF_JUDGMENT
"8,",DATE_OF_JUDGMENT
2008,DATE_OF_JUDGMENT
"""",O
