token,nre
"""IN",O
,O
THE,COURT
SUPREME,COURT
COURT,COURT
OF,COURT
INDIA,COURT
CRIMINAL,O
APPELLATE,O
JURISDICTION,O
,O
CRIMINAL,CASE_NO
APPEAL,CASE_NO
No.,CASE_NO
1896,CASE_NO
OF,CASE_NO
2008,CASE_NO
[Arising,CASE_NO
out,CASE_NO
of,CASE_NO
SLP(Crl.)No.6268,CASE_NO
of,CASE_NO
2008],CASE_NO
O,
POORAN,PETITIONER_OR_APPELLANT
SINGH,PETITIONER_OR_APPELLANT
RAWAT,PETITIONER_OR_APPELLANT
...,O
Appellant(s),O
Versus,O
,O
STATE,RESPONDENT
OF,RESPONDENT
UTTARKHAND,RESPONDENT
...,O
Respondent(s),O
ORDER,O
Leave,O
granted.,O
The,O
appellant,O
was,O
convicted,O
under,O
,O
Section,LAW
333,LAW
of,LAW
the,LAW
Indian,LAW
Penal,LAW
Code,LAW
",",O
which,O
carries,O
a,O
maximum,O
sentence,O
of,O
10,O
years,O
rigorous,O
imprisonment,O
and,O
fine,O
or,O
both.,O
"However,",O
the,O
appellant,O
was,O
sentenced,O
to,O
,O
three,JUDGMENT
years',JUDGMENT
rigorous,JUDGMENT
imprisonment,JUDGMENT
in,O
the,O
facts,O
and,O
circumstances,O
of,O
the,O
case.,O
The,O
incident,O
appears,O
to,O
have,O
occurred,O
over,O
the,O
drawing,O
of,O
water,O
from,O
the,O
public,O
"canal,",O
which,O
was,O
under,O
the,O
supervision,O
of,O
the,O
victim.,O
In,O
the,O
"process,",O
the,O
victim,O
suffered,O
"injuries,",O
which,O
included,O
fracture,O
to,O
his,O
tibia.,O
The,O
incident,O
is,O
one,O
of,O
,O
1989,DATE_AND_TIME_CRIME
.,O
Apart,O
from,O
the,O
"above,",O
the,O
circumstances,O
in,O
which,O
the,O
punishment,O
was,O
awarded,O
does,O
"not,",O
in,O
our,O
"view,",O
warrant,O
such,O
a,O
severe,O
"punishment,",O
as,O
has,O
-2-,O
been,O
awarded.,O
"Accordingly,",O
we,O
reduce,O
the,O
sentence,O
to,O
a,O
period,O
of,O
one,O
year,O
giving,O
credit,O
for,O
the,O
period,O
which,O
has,O
already,O
been,O
undergone,O
by,O
him,O
in,O
the,O
meantime.,O
The,O
appeal,O
is,O
allowed,O
to,O
the,O
aforesaid,O
extent.,O
...................J.,O
(,O
ALTAMAS,JUDGE
KABIR,JUDGE
),O
...................J.,O
(,O
MARKANDEY,JUDGE
KATJU,JUDGE
),O
,O
New,LOC_OF_JUDGMENT
"Delhi,",LOC_OF_JUDGMENT
O,
November,DATE_OF_JUDGMENT
"28,",DATE_OF_JUDGMENT
2008,DATE_OF_JUDGMENT
".""",O
