token,nre
"""IN",O
,O
THE,COURT
SUPREME,COURT
COURT,COURT
OF,COURT
INDIA,COURT
CRIMINAL,O
APPELLATE,O
JURISDICTION,O
,O
CRIMINAL,CASE_NO
APPEAL,CASE_NO
NO.,CASE_NO
684,CASE_NO
OF,CASE_NO
2007,CASE_NO
O,
BACHU,PETITIONER_OR_APPELLANT
SINGH,PETITIONER_OR_APPELLANT
......,O
APPELLANT,O
VERSUS,O
,O
C.B.I.,RESPONDENT
......,O
RESPONDENT,O
O,O
R,O
D,O
E,O
R,O
1.,O
We,O
have,O
heard,O
the,O
learned,O
counsel,O
for,O
the,O
parties.,O
2.,O
In,O
the,O
light,O
of,O
the,O
facts,O
that,O
have,O
been,O
brought,O
out,O
before,O
us,O
by,O
,O
Ms.,ADVOCATE
Binu,ADVOCATE
Tamta,ADVOCATE
",",O
learned,O
counsel,O
for,O
the,O
"appellant,",O
"particularly,",O
that,O
cognizance,O
under,O
,O
Section,LAW
419,LAW
of,LAW
the,LAW
Indian,LAW
Penal,LAW
Code,LAW
had,O
been,O
taken,O
on,O
the,O
,O
12th,DATE_AND_TIME_CRIME
"April,",DATE_AND_TIME_CRIME
2004,DATE_AND_TIME_CRIME
",",O
after,O
the,O
matter,O
had,O
been,O
remanded,O
by,O
,O
the,COURT
High,COURT
Court,COURT
which,O
also,O
made,O
the,O
matter,O
outside,O
"limitation,",O
we,O
feel,O
it,O
appropriate,O
that,O
the,O
matter,O
should,O
be,O
remanded,O
to,O
,O
the,COURT
High,COURT
Court,COURT
.,O
,O
The,COURT
High,COURT
Court,COURT
is,O
requested,O
to,O
render,O
its,O
opinion,O
after,O
making,O
a,O
complete,O
assessment,O
of,O
the,O
facts,O
and,O
on,O
the,O
merits,O
of,O
the,O
controversy.,O
The,O
order,O
impugned,O
"is,",O
"accordingly,",O
set,O
aside.,O
3.,O
The,O
appeal,O
is,O
allowed,O
to,O
the,O
above,O
extent.,O
......,O
..................J,O
[,O
HARJIT,JUDGE
SINGH,JUDGE
BEDI,JUDGE
],O
........................J,O
[,O
CHANDRAMAULI,JUDGE
KR.,JUDGE
PRASAD,JUDGE
],O
,O
NEW,LOC_OF_JUDGMENT
DELHI,LOC_OF_JUDGMENT
O,
FEBRUARY,DATE_OF_JUDGMENT
"17,",DATE_OF_JUDGMENT
2011,DATE_OF_JUDGMENT
".""",O
