token,nre
'REPORTABLE,O
IN,O
,O
THE,COURT
SUPREME,COURT
COURT,COURT
OF,COURT
INDIA,COURT
CRIMINAL,O
APPELLATE,O
JURISDICTION,O
,O
CRIMINAL,CASE_NO
APPEAL,CASE_NO
NO.,CASE_NO
1491,CASE_NO
OF,CASE_NO
2012,CASE_NO
[Arising,CASE_NO
out,CASE_NO
of,CASE_NO
Special,CASE_NO
Leave,CASE_NO
Petition,CASE_NO
(Crl.),CASE_NO
No.4002,CASE_NO
of,CASE_NO
2006],CASE_NO
O,
OM,PETITIONER_OR_APPELLANT
PRAKASH,PETITIONER_OR_APPELLANT
&,PETITIONER_OR_APPELLANT
ORS.,PETITIONER_OR_APPELLANT
…,O
Appellants,O
Versus,O
,O
STATE,RESPONDENT
OF,RESPONDENT
JHARKHAND,RESPONDENT
Through,RESPONDENT
the,RESPONDENT
"Secretary,",RESPONDENT
Departmentof,RESPONDENT
"Home,",RESPONDENT
Ranchi-1,RESPONDENT
&,RESPONDENT
Anr.,RESPONDENT
…,O
Respondents,O
WITH,O
,O
CRIMINAL,CASE_NO
APPEAL,CASE_NO
NO.,CASE_NO
1492,CASE_NO
OF,CASE_NO
2012,CASE_NO
[Arising,CASE_NO
out,CASE_NO
of,CASE_NO
Special,CASE_NO
Leave,CASE_NO
Petition,CASE_NO
(Crl.),CASE_NO
No.1946,CASE_NO
of,CASE_NO
2007],CASE_NO
O,
KAILASHPATI,PETITIONER_OR_APPELLANT
SINGH,PETITIONER_OR_APPELLANT
…,O
Appellant,O
Versus,O
,O
RAJIV,RESPONDENT
RANJAN,RESPONDENT
SINGH,RESPONDENT
&,RESPONDENT
ANR,RESPONDENT
.,O
…,O
Respondents,O
Page,O
1,O
2,O
JUDGMENT,O
,O
(SMT.),JUDGE
RANJANA,JUDGE
PRAKASH,JUDGE
DESAI,JUDGE
",",O
J.,O
1.,O
Leave,O
granted.,O
2.,O
In,O
both,O
these,O
"appeals,",O
by,O
special,O
"leave,",O
judgment,O
and,O
order,O
dated,O
1/5/2006,O
delivered,O
by,O
the,O
,O
Jharkhand,COURT
High,COURT
Court,COURT
in,O
,O
Criminal,PETITION-DETAILS
Misc.,PETITION-DETAILS
Petition,PETITION-DETAILS
No.822,PETITION-DETAILS
of,PETITION-DETAILS
2005,PETITION-DETAILS
and,PETITION-DETAILS
Criminal,PETITION-DETAILS
Misc.,PETITION-DETAILS
Petition,PETITION-DETAILS
No.640,PETITION-DETAILS
of,PETITION-DETAILS
2005,PETITION-DETAILS
filed,O
under,O
,O
Section,LAW
482,LAW
of,LAW
the,LAW
Criminal,LAW
Procedure,LAW
Code,LAW
(for,O
"short,",O
“the,O
Code”),O
is,O
challenged.,O
,O
Criminal,PETITION-DETAILS
Misc.,PETITION-DETAILS
Petition,PETITION-DETAILS
No.640,PETITION-DETAILS
of,PETITION-DETAILS
2005,PETITION-DETAILS
was,O
filed,O
by,O
,O
Shri,POLICE
Rajiv,POLICE
Ranjan,POLICE
"Singh,",POLICE
Deputy,POLICE
Superintendent,POLICE
of,POLICE
Police,POLICE
",",O
(Dy.S.P.),O
"Headquarter(II),",O
,O
Jamshedpur,LOC_CRIME
.,O
Criminal,O
Misc.,O
,O
Petition,PETITION-DETAILS
No.822,PETITION-DETAILS
of,PETITION-DETAILS
2005,PETITION-DETAILS
was,O
filed,O
by,O
the,O
police,O
personnel,O
posted,O
at,O
,O
Jamshedpur,LOC_CRIME
in,O
different,O
capacities.,O
In,O
the,O
"petitions,",O
before,O
,O
the,COURT
High,COURT
Court,COURT
",",O
the,O
prayer,O
was,O
for,O
quashing,O
the,O
criminal,O
proceedings,O
in,O
,O
Complaint,CASE_NO
Case,CASE_NO
No.731,CASE_NO
of,CASE_NO
2004,CASE_NO
and,O
order,O
dated,O
"14/06/2005,",O
passed,O
thereon,O
by,O
the,O
Judicial,O
Magistrate,O
First,O
"Class,",O
,O
Jamshedpur,LOC_CRIME
",",O
taking,O
cognizance,O
of,O
the,O
offences,O
alleged,O
in,O
the,O
complaint.,O
Page,O
2,O
3,O
3.,O
Brief,O
facts,O
of,O
the,O
case,O
need,O
to,O
be,O
stated:,O
Appellant,O
,O
Kailashpati,PETITIONER_OR_APPELLANT
Singh,PETITIONER_OR_APPELLANT
is,O
the,O
complainant.,O
On,O
"23/7/2004,",O
he,O
filed,O
a,O
complaint,O
in,O
the,O
,O
Court,COURT
of,COURT
"C.J.M,",COURT
Jamshedpur,COURT
being,O
,O
Complaint,CASE_NO
Case,CASE_NO
No.731,CASE_NO
of,CASE_NO
2004,CASE_NO
against,O
(1),O
,O
Rajiv,ACCUSED
Ranjan,ACCUSED
"Singh,",ACCUSED
Dy.S.P.-II,ACCUSED
",",O
(2),O
,O
Pradeep,ACCUSED
"Kumar,",ACCUSED
S.I.,ACCUSED
",",O
(3),O
,O
"Omprakash,",ACCUSED
S.I.,ACCUSED
",",O
(4),O
,O
Shyam,ACCUSED
Bihari,ACCUSED
"Singh,",ACCUSED
constable,ACCUSED
and,O
(5),O
,O
Bharat,ACCUSED
"Shukla,",ACCUSED
constable,ACCUSED
.,O
In,O
the,O
"complaint,",O
the,O
complainant,O
alleged,O
that,O
his,O
son,O
,O
Amit,VICTIM
Pratap,VICTIM
Singh,VICTIM
@,VICTIM
Munna,VICTIM
Singh,VICTIM
(for,O
"convenience,",O
“deceased,O
,O
Munna,VICTIM
Singh,VICTIM
”),O
was,O
killed,O
in,O
a,O
,O
fake,CRIME
encounter,CRIME
by,O
the,O
accused,O
named,O
in,O
the,O
complaint,O
including,O
three,O
others,O
on,O
,O
1/7/2004,DATE_AND_TIME_CRIME
at,DATE_AND_TIME_CRIME
about,DATE_AND_TIME_CRIME
10.30,DATE_AND_TIME_CRIME
p.m.,DATE_AND_TIME_CRIME
at,O
,O
"Domohani,",LOC_CRIME
"Sonari,",LOC_CRIME
Jamshedpur,LOC_CRIME
.,O
According,O
to,O
the,O
"complainant,",O
he,O
received,O
telephonic,O
message,O
on,O
2/7/2004,O
from,O
one,O
,O
Sanjay,VICTIM_ALLIES
Kuma,VICTIM_ALLIES
r,O
of,O
,O
Jamshedpur,LOC_CRIME
that,O
his,O
son,O
was,O
killed,O
in,O
an,O
encounter.,O
This,O
news,O
was,O
also,O
published,O
in,O
the,O
local,O
newspapers,O
of,O
,O
Jamshedpur,LOC_CRIME
.,O
As,O
per,O
the,O
newspaper,O
"report,",O
along,O
with,O
the,O
"deceased,",O
three,O
others,O
viz.,O
,O
Rajib,VICTIM
"Dubey,",VICTIM
O,
Babloo,VICTIM
Prasad,VICTIM
and,O
,O
Rambo,VICTIM
were,O
also,O
killed.,O
According,O
to,O
the,O
"complainant,",O
he,O
rushed,O
to,O
,O
Jamshedpur,LOC_CRIME
with,O
his,O
eldest,O
son,O
,O
Krishna,VICTIM_ALLIES
Singh,VICTIM_ALLIES
and,O
contacted,O
the,O
,O
Jamshedpur,LOC_CRIME
Police,O
Page,O
3,O
4,O
Authorities,O
for,O
the,O
purpose,O
of,O
receiving,O
the,O
dead,O
body,O
of,O
his,O
son,O
for,O
cremation.,O
"However,",O
the,O
police,O
refused,O
to,O
handover,O
the,O
dead,O
body.,O
"Therefore,",O
the,O
complainant’s,O
eldest,O
son,O
,O
Krishna,VICTIM_ALLIES
Singh,VICTIM_ALLIES
reported,O
the,O
matter,O
to,O
the,O
Deputy,O
"Commissioner,",O
East,O
"Singhbhum,",O
,O
Jamshedpur,LOC_CRIME
.,O
"However,",O
the,O
police,O
did,O
not,O
hand,O
over,O
the,O
dead,O
body,O
of,O
the,O
deceased,O
in,O
spite,O
of,O
repeated,O
requests,O
made,O
to,O
the,O
proper,O
authorities.,O
It,O
is,O
the,O
complainant’s,O
case,O
that,O
he,O
later,O
on,O
came,O
to,O
know,O
that,O
the,O
police,O
had,O
obtained,O
signature,O
of,O
one,O
,O
Sanjay,VICTIM_ALLIES
Kumar,VICTIM_ALLIES
under,O
coercion,O
on,O
a,O
"challan,",O
showing,O
that,O
the,O
dead,O
body,O
was,O
received,O
by,O
him.,O
Instead,O
of,O
handing,O
over,O
the,O
dead,O
body,O
to,O
,O
Sanjay,VICTIM_ALLIES
Kumar,VICTIM_ALLIES
",",O
according,O
to,O
the,O
"complainant,",O
it,O
was,O
cremated,O
at,O
Parvati,O
"Ghat,",O
Adityapur.,O
The,O
complainant,O
and,O
members,O
of,O
his,O
family,O
were,O
kept,O
in,O
dark.,O
This,O
was,O
done,O
to,O
destroy,O
the,O
evidence,O
and,O
manufacture,O
the,O
story,O
of,O
police,O
encounter.,O
It,O
is,O
the,O
case,O
of,O
the,O
complainant,O
that,O
deceased,O
,O
Munna,VICTIM
Singh,VICTIM
was,O
not,O
involved,O
in,O
any,O
criminal,O
activities.,O
He,O
used,O
to,O
provide,O
his,O
jeep,O
to,O
people,O
on,O
rent,O
at,O
,O
Jamshedpur,LOC_CRIME
and,O
other,O
places,O
and,O
earn,O
his,O
livelihood.,O
According,O
to,O
the,O
"complainant,",O
deceased,O
,O
Munna,VICTIM
Singh,VICTIM
was,O
falsely,O
involved,O
in,O
Sonari,O
P.S.,O
Case,O
No.15,O
of,O
Page,O
4,O
5,O
1994,O
dated,O
6/3/1994,O
under,O
,O
Section,LAW
392,LAW
of,LAW
the,LAW
Indian,LAW
Penal,LAW
Code,LAW
(for,O
"short,",O
“the,O
IPC”).,O
As,O
a,O
matter,O
of,O
"fact,",O
on,O
that,O
"day,",O
he,O
was,O
only,O
9,O
years,O
old.,O
The,O
complainant,O
stated,O
that,O
the,O
postmortem,O
report,O
shows,O
that,O
three,O
bullets,O
were,O
found,O
in,O
the,O
chest,O
of,O
deceased,O
,O
Munna,VICTIM
Singh,VICTIM
indicating,O
that,O
he,O
was,O
killed,O
by,O
the,O
police,O
by,O
firing,O
from,O
close,O
range.,O
The,O
complainant,O
took,O
exception,O
to,O
the,O
fact,O
that,O
the,O
autopsy,O
was,O
not,O
video-graphed.,O
The,O
complainant,O
also,O
contended,O
that,O
the,O
accused,O
committed,O
the,O
offence,O
not,O
in,O
discharge,O
of,O
their,O
official,O
"duties,",O
"therefore,",O
no,O
sanction,O
was,O
required,O
to,O
prosecute,O
them,O
under,O
,O
Section,LAW
197,LAW
of,LAW
the,LAW
Code.,LAW
According,O
to,O
the,O
"complainant,",O
the,O
accused,O
have,O
thus,O
committed,O
offence,O
under,O
,O
Sections,LAW
"120-B,",LAW
203,LAW
and,LAW
302,LAW
read,LAW
with,LAW
Section,LAW
34,LAW
of,LAW
the,LAW
IPC,LAW
.,O
4.,O
The,O
other,O
version,O
which,O
also,O
needs,O
to,O
be,O
stated,O
is,O
disclosed,O
from,O
the,O
FIR,O
lodged,O
on,O
1/7/2004,O
by,O
one,O
Jeevan,O
Prasad,O
"Naredi,",O
a,O
dealer,O
in,O
scrap,O
that,O
on,O
1/7/2004,O
at,O
9.50,O
p.m.,O
some,O
miscreants,O
came,O
to,O
his,O
house,O
riding,O
on,O
motor,O
cycles.,O
They,O
were,O
armed,O
with,O
firearms.,O
They,O
fired,O
at,O
his,O
office,O
situated,O
in,O
his,O
house,O
and,O
ran,O
away.,O
This,O
was,O
done,O
to,O
Page,O
5,O
6,O
threaten,O
him,O
and,O
to,O
force,O
him,O
to,O
yield,O
to,O
their,O
ransom,O
demand.,O
It,O
is,O
the,O
case,O
of,O
the,O
police,O
personnel,O
as,O
disclosed,O
in,O
the,O
FIR,O
lodged,O
by,O
the,O
Dy.,O
S.P.,POLICE
Rajiv,POLICE
Ranjan,POLICE
Singh,POLICE
"that,",O
having,O
received,O
information,O
about,O
this,O
"incident,",O
the,O
police,O
set,O
out,O
to,O
arrest,O
the,O
accused.,O
They,O
traced,O
them,O
and,O
asked,O
them,O
to,O
surrender.,O
"However,",O
instead,O
of,O
"surrendering,",O
they,O
fired,O
at,O
the,O
police.,O
The,O
police,O
had,O
to,O
retaliate,O
to,O
save,O
themselves,O
"and,",O
in,O
"that,",O
four,O
criminals,O
were,O
killed.,O
The,O
rest,O
escaped.,O
Son,O
of,O
the,O
complainant,O
was,O
one,O
of,O
those,O
who,O
were,O
killed.,O
5.,O
By,O
the,O
impugned,O
judgment,O
and,O
"order,",O
,O
the,COURT
High,COURT
Court,COURT
allowed,O
the,O
petition,O
filed,O
by,O
,O
Rajiv,POLICE
Ranjan,POLICE
Singh,POLICE
",",O
"Dy.S.P.,",O
on,O
the,O
ground,O
that,O
sanction,O
required,O
under,O
,O
Section,LAW
197,LAW
of,LAW
the,LAW
Code,LAW
was,O
not,O
obtained.,O
The,O
order,O
impugned,O
before,O
,O
the,COURT
High,COURT
Court,COURT
to,O
the,O
extent,O
it,O
took,O
cognizance,O
of,O
the,O
offences,O
against,O
"him,",O
was,O
quashed.,O
So,O
far,O
as,O
the,O
other,O
police,O
personnel,O
are,O
"concerned,",O
,O
the,COURT
High,COURT
Court,COURT
dismissed,O
their,O
petition,O
on,O
the,O
ground,O
that,O
no,O
notification,O
issued,O
under,O
,O
Section,LAW
197(3),LAW
of,LAW
the,LAW
Code,LAW
was,O
produced,O
by,O
them,O
to,O
show,O
that,O
they,O
were,O
protected,O
against,O
prosecution,O
in,O
respect,O
of,O
any,O
offence,O
alleged,O
to,O
have,O
Page,O
6,O
7,O
been,O
committed,O
while,O
acting,O
or,O
purporting,O
to,O
act,O
in,O
discharge,O
of,O
their,O
official,O
duties.,O
6.,O
Being,O
aggrieved,O
by,O
the,O
rejection,O
of,O
their,O
prayer,O
for,O
quashing,O
the,O
"complaint,",O
appellants,O
,O
Om,PETITIONER_OR_APPELLANT
Prakash,PETITIONER_OR_APPELLANT
&,PETITIONER_OR_APPELLANT
Ors.,PETITIONER_OR_APPELLANT
have,O
come,O
to,O
this,O
court.,O
Being,O
aggrieved,O
by,O
the,O
impugned,O
judgment,O
and,O
order,O
of,O
,O
the,COURT
High,COURT
Court,COURT
",",O
to,O
the,O
extent,O
it,O
quashed,O
the,O
proceedings,O
against,O
,O
Rajiv,ACCUSED
Ranjan,ACCUSED
"Singh,",ACCUSED
Dy.S.P.-II,ACCUSED
",",O
the,O
complainant,O
has,O
come,O
to,O
this,O
court.,O
As,O
both,O
the,O
appeals,O
challenge,O
the,O
same,O
judgment,O
and,O
order,O
and,O
they,O
arise,O
out,O
of,O
the,O
same,O
"facts,",O
we,O
dispose,O
them,O
of,O
by,O
this,O
common,O
judgment.,O
7.,O
We,O
have,O
heard,O
Mr.,O
K.V.,O
"Viswanathan,",O
senior,O
advocate,O
for,O
appellants,O
,O
