token,nre
"""IN",O
,O
THE,COURT
SUPREME,COURT
COURT,COURT
OF,COURT
INDIA,COURT
CRIMINAL,O
APPELLATE,O
JURISDICTION,O
,O
CRIMINAL,CASE_NO
APPEAL,CASE_NO
NO.,CASE_NO
1688,CASE_NO
OF,CASE_NO
2012,CASE_NO
(SPECIAL,CASE_NO
LEAVE,CASE_NO
PETITION(CRL.)NO.5773,CASE_NO
OF,CASE_NO
2012),CASE_NO
O,
KHANDAKAR,PETITIONER_OR_APPELLANT
KAMARUZZAMAN,PETITIONER_OR_APPELLANT
@,PETITIONER_OR_APPELLANT
KAMAL,PETITIONER_OR_APPELLANT
APPELLANT,O
VERSUS,O
,O
STATE,RESPONDENT
OF,RESPONDENT
WEST,RESPONDENT
BENGAL,RESPONDENT
RESPONDENT,O
O,O
R,O
D,O
E,O
R,O
1.,O
Leave,O
granted.,O
2.,O
Delay,O
condoned.,O
3.,O
This,O
appeal,O
is,O
filed,O
against,O
the,O
impugned,O
judgment,O
and,O
order,O
dated,O
25.08.2011,O
passed,O
by,O
,O
the,COURT
High,COURT
Court,COURT
of,COURT
Calcutta,COURT
in,O
,O
C.R.M.No.4559,CASE_NO
of,CASE_NO
2011,CASE_NO
",",O
whereby,O
,O
the,COURT
High,COURT
Court,COURT
has,O
rejected,O
the,O
application,O
for,O
anticipatory,O
bail,O
filed,O
by,O
the,O
appellant,O
under,O
,O
Section,LAW
438,LAW
of,LAW
the,LAW
Code,LAW
of,LAW
Criminal,LAW
Procedure,LAW
.,O
4.,O
On,O
27th,O
"July,",O
"2012,",O
while,O
issuing,O
"notice,",O
we,O
had,O
granted,O
anticipatory,O
bail,O
to,O
the,O
appellant.,O
Page,O
1,O
:,O
2,O
:,O
5.,O
Having,O
gone,O
through,O
the,O
records,O
and,O
heard,O
learned,O
counsel,O
for,O
the,O
parties,O
to,O
the,O
"lis,",O
we,O
are,O
of,O
the,O
considered,O
opinion,O
that,O
our,O
aforesaid,O
order,O
dated,O
27th,O
"July,",O
2012,O
be,O
made,O
absolute,O
and,O
is,O
made,O
absolute.,O
Criminal,O
Appeal,O
is,O
disposed,O
of,O
accordingly.,O
.......................J.,O
(,O
H.L.,JUDGE
DATTU,JUDGE
),O
.......................J.,O
(,O
CHANDRAMAULI,JUDGE
KR.,JUDGE
PRASAD,JUDGE
),O
,O
NEW,LOC_OF_JUDGMENT
DELHI,LOC_OF_JUDGMENT
;,O
,O
OCTOBER,DATE_OF_JUDGMENT
"17,",DATE_OF_JUDGMENT
2012,DATE_OF_JUDGMENT
Page,O
"2""",O
