token,nre
"""IN",O
,O
THE,COURT
SUPREME,COURT
COURT,COURT
OF,COURT
INDIA,COURT
CRIMINAL,O
APPELLATE,O
JURISDICTION,O
,O
CRIMINAL,CASE_NO
APPEAL,CASE_NO
NO.2306,CASE_NO
OF,CASE_NO
2011,CASE_NO
(@,CASE_NO
SPECIAL,CASE_NO
LEAVE,CASE_NO
PETITION(CRL.)NO.7681,CASE_NO
OF,CASE_NO
2010),CASE_NO
O,
MAMAN,PETITIONER_OR_APPELLANT
KUMAR,PETITIONER_OR_APPELLANT
AGRAWAL,PETITIONER_OR_APPELLANT
..........APPELLANT,O
VERSUS,O
,O
M/S,RESPONDENT
GUPTA,RESPONDENT
HOMES,RESPONDENT
P.LTD.&,RESPONDENT
ANR,RESPONDENT
.........RESPONDENTS,O
O,O
R,O
D,O
E,O
R,O
1.,O
Leave,O
granted.,O
2.,O
Heard,O
learned,O
counsel,O
for,O
the,O
parties.,O
3.,O
This,O
appeal,O
is,O
directed,O
against,O
the,O
judgment,O
and,O
order,O
dated,O
05.04.2010,O
passed,O
by,O
,O
the,COURT
High,COURT
Court,COURT
of,COURT
Judicature,COURT
at,COURT
Patna,COURT
in,O
Criminal,O
Miscellaneous,O
No.39582,O
of,O
2009.,O
By,O
the,O
impugned,O
"order,",O
,O
the,COURT
High,COURT
Court,COURT
has,O
quashed,O
the,O
orders,O
passed,O
by,O
the,O
learned,O
Judicial,O
Magistrate,O
taking,O
cognizance,O
for,O
the,O
offences,O
punishable,O
under,O
,O
Sections,LAW
406,LAW
&,LAW
420,LAW
of,LAW
the,LAW
Indian,LAW
Penal,LAW
Code,LAW
.,O
4.,O
On,O
the,O
last,O
date,O
of,O
"hearing,",O
the,O
learned,O
counsel,O
appearing,O
for,O
the,O
appellant,O
had,O
submitted,O
that,O
he,O
was,O
willing,O
to,O
accept,O
a,O
sum,O
of,O
"Rs.9,87,000/-",O
with,O
a,O
reasonable,O
"interest,",O
if,O
it,O
is,O
paid,O
by,O
the,O
"respondents,",O
within,O
a,O
reasonable,O
time.,O
5.,O
Since,O
the,O
learned,O
counsel,O
appearing,O
for,O
the,O
respondents,O
did,O
not,O
have,O
instructions,O
from,O
his,O
"client,",O
we,O
had,O
adjourned,O
the,O
matter,O
last,O
time.,O
1,O
6.,O
"Today,",O
learned,O
counsel,O
appearing,O
for,O
the,O
respondents,O
would,O
submit,O
that,O
his,O
clients,O
are,O
willing,O
to,O
refund,O
a,O
sum,O
of,O
"Rs.9,87,000/-",O
but,O
without,O
interest.,O
7.,O
It,O
is,O
an,O
admitted,O
case,O
that,O
the,O
appellant,O
had,O
paid,O
a,O
sum,O
of,O
"Rs.9,87,000/-",O
to,O
the,O
respondents,O
towards,O
allotment,O
of,O
a,O
flat,O
and,O
that,O
amount,O
is,O
lying,O
with,O
the,O
respondents,O
right,O
from,O
the,O
year,O
2006.,O
In,O
our,O
"opinion,",O
the,O
respondents,O
ought,O
to,O
have,O
returned,O
the,O
amount,O
paid,O
by,O
the,O
"appellant,",O
with,O
"interest,",O
from,O
21.12.2006.,O
In,O
view,O
of,O
the,O
"above,",O
we,O
dispose,O
of,O
this,O
appeal,O
and,O
direct,O
the,O
respondents,O
to,O
pay,O
the,O
sum,O
of,O
"Rs.9,87,000/-",O
with,O
12%,O
p.a.,O
interest,O
from,O
21.12.2006,O
till,O
the,O
date,O
of,O
actual,O
payment.,O
The,O
respondents,O
are,O
granted,O
two,O
months',O
time,O
from,O
today,O
to,O
make,O
the,O
payment.,O
"If,",O
for,O
any,O
"reason,",O
the,O
respondents,O
fail,O
to,O
make,O
the,O
"payment,",O
as,O
"aforesaid,",O
then,O
the,O
appellant,O
is,O
at,O
liberty,O
to,O
make,O
an,O
appropriate,O
application/petition,O
for,O
modification,O
of,O
our,O
order.,O
Ordered,O
accordingly.,O
........................J.,O
(,O
H.L.,JUDGE
DATTU,JUDGE
),O
.......................J.,O
(,O
CHANDRAMAULI,JUDGE
KR.,JUDGE
PRASAD,JUDGE
),O
,O
NEW,LOC_OF_JUDGMENT
DELHI,LOC_OF_JUDGMENT
;,O
,O
DECEMBER,DATE_OF_JUDGMENT
"12,",DATE_OF_JUDGMENT
2011,DATE_OF_JUDGMENT
"2""",O
