token,nre
"""REPORTABLE",O
IN,O
,O
THE,COURT
SUPREME,COURT
COURT,COURT
OF,COURT
INDIA,COURT
CRIMINAL,O
APPELLATE,O
JURISDICTION,O
,O
CRIMINAL,CASE_NO
APPEAL,CASE_NO
NO.171,CASE_NO
OF,CASE_NO
2013,CASE_NO
(@,CASE_NO
SPECIAL,CASE_NO
LEAVE,CASE_NO
PETITION,CASE_NO
(CRL.),CASE_NO
NO.,CASE_NO
4378,CASE_NO
OF,CASE_NO
2012),CASE_NO
O,
SHYAM,PETITIONER_OR_APPELLANT
LAL,PETITIONER_OR_APPELLANT
VERMA,PETITIONER_OR_APPELLANT
...APPELLANT,O
VERSUS,O
,O
CENTRAL,RESPONDENT
BUREAU,RESPONDENT
OF,RESPONDENT
INVESTIGATION,RESPONDENT
....RESPONDENT,O
O,O
R,O
D,O
E,O
R,O
Leave,O
granted.,O
The,O
appellant,O
is,O
a,O
retired,O
employee,O
of,O
Post,O
Office.,O
The,O
incident,O
occurred,O
in,O
,O
1993-94,DATE_AND_TIME_CRIME
.,O
The,O
allegation,O
against,O
him,O
is,O
that,O
he,O
misappropriated,O
to,O
the,O
extent,O
of,O
"Rs.1,35,240/-",O
(Rupees,O
one,O
lakh,O
thirty,O
five,O
thousand,O
and,O
two,O
hundred,O
forty).,O
The,O
employees,O
of,O
various,O
departments,O
deposited,O
their,O
"amount,",O
but,O
the,O
appellant,O
did,O
not,O
remit,O
the,O
amount,O
and,O
failed,O
to,O
make,O
entry,O
in,O
the,O
ledger.,O
He,O
was,O
charged,O
under,O
,O
Section,LAW
477-A,LAW
IPC,LAW
read,LAW
with,LAW
Section,LAW
3(1)(c),LAW
and,LAW
13(2),LAW
of,LAW
the,LAW
Prevention,LAW
of,LAW
Corruption,LAW
Act,LAW
1988,LAW
.,O
After,O
fullfleged,O
"trial,",O
,O
the,COURT
Trial,COURT
Court,COURT
convicted,O
him,O
under,O
the,O
above,O
mentioned,O
Sections.,O
"However,",O
instead,O
of,O
awarding,O
"sentence,",O
,O
the,COURT
Trial,COURT
Court,COURT
released,O
the,O
appellant,O
under,O
the,O
,O
Probation,LAW
of,LAW
Offenders,LAW
"Act,1958",LAW
on,O
executing,O
a,O
personal,O
bond,O
in,O
the,O
sum,O
of,O
"Rs.50,000/-",O
and,O
furnishing,O
two,O
sureties,O
each,O
of,O
the,O
like,O
amount,O
for,O
a,O
period,O
of,O
one,O
year.,O
He,O
was,O
also,O
directed,O
to,O
maintain,O
peace,O
and,O
good,O
behaviour,O
during,O
this,O
period.,O
...2/-,O
Page,O
1,O
-2-,O
Aggrieved,O
by,O
the,O
above,O
decision,O
of,O
,O
the,COURT
Trial,COURT
Court,COURT
",",O
the,O
,O
CBI,POLICE
filed,O
an,O
appeal,O
before,O
,O
the,COURT
High,COURT
Court,COURT
.,O
"Admittedly,",O
the,O
accused,O
did,O
not,O
file,O
any,O
appeal,O
challenging,O
the,O
order,O
of,O
conviction.,O
By,O
the,O
impugned,O
"order,",O
,O
the,COURT
High,COURT
Court,COURT
allowed,O
the,O
appeal,O
of,O
the,O
,O
CBI,POLICE
and,O
sentenced,O
him,O
for,O
a,O
period,O
of,O
one,O
year,O
under,O
,O
Sections,LAW
477-A,LAW
IPC,LAW
and,LAW
under,LAW
Section,LAW
13(1)(c),LAW
read,LAW
with,LAW
Section,LAW
13(2),LAW
for,O
a,O
further,O
period,O
of,O
one,O
year.,O
Both,O
the,O
sentences,O
were,O
directed,O
to,O
run,O
concurrently.,O
Questioning,O
the,O
order,O
of,O
,O
the,COURT
High,COURT
Court,COURT
sentencing,O
"him,",O
as,O
stated,O
"above,",O
the,O
accused,O
preferred,O
the,O
present,O
appeal,O
by,O
way,O
of,O
special,O
leave.,O
Heard,O
learned,O
senior,O
counsel,O
appearing,O
on,O
behalf,O
of,O
the,O
appellant,O
and,O
learned,O
counsel,O
appearing,O
on,O
behalf,O
of,O
the,O
respondent-,O
CBI,POLICE
.,O
The,O
only,O
point,O
for,O
consideration,O
in,O
this,O
appeal,O
"is,",O
whether,O
the,O
,O
Probation,LAW
of,LAW
Offenders,LAW
Act,LAW
is,O
applicable,O
to,O
offences,O
under,O
the,O
Prevention,O
of,O
Corruption,O
Act?,O
,O
The,COURT
Trial,COURT
Court,COURT
applied,O
,O
Probation,LAW
of,LAW
Offenders,LAW
Act,LAW
and,O
sentenced,O
him,O
accordingly.,O
This,O
was,O
reversed,O
by,O
,O
the,COURT
High,COURT
Court,COURT
and,O
ultimately,O
imposed,O
substantive,O
sentence,O
of,O
one,O
year.,O
It,O
is,O
not,O
in,O
dispute,O
that,O
the,O
issue,O
raised,O
in,O
this,O
appeal,O
has,O
been,O
considered,O
by,O
this,O
Court,O
in,O
2004,O
(4),O
,O
SCC,CITATION
590,CITATION
–,CITATION
State,CITATION
Through,CITATION
"SP,",CITATION
New,CITATION
Delhi,CITATION
Versus,CITATION
Ratan,CITATION
lal,CITATION
Arora,CITATION
wherein,O
in,O
similar,O
"circumstances,",O
this,O
Court,O
held,O
that,O
since,O
,O
Section,LAW
7,LAW
as,LAW
well,LAW
as,LAW
Section,LAW
13,LAW
of,LAW
the,LAW
Prevention,LAW
of,LAW
Corruption,LAW
Act,LAW
...3/-,O
Page,O
2,O
-3-,O
provide,O
for,O
a,O
minimum,O
,O
sentence,LAW
of,LAW
six,LAW
months,LAW
and,LAW
one,LAW
year,LAW
respectively,O
in,O
addition,O
to,O
the,O
maximum,O
sentences,O
as,O
well,O
as,O
imposition,O
of,O
"fine,",O
in,O
such,O
circumstances,O
claim,O
for,O
granting,O
relief,O
under,O
the,O
,O
Probation,LAW
of,LAW
Offenders,LAW
Act,LAW
is,O
not,O
permissible.,O
In,O
other,O
"words,",O
in,O
cases,O
where,O
a,O
specific,O
provision,O
prescribed,O
a,O
minimum,O
"sentence,",O
the,O
provisions,O
of,O
the,O
Probation,O
Act,O
cannot,O
be,O
invoked.,O
Similar,O
view,O
has,O
been,O
expressed,O
in,O
,O
2006,CITATION
(11),CITATION
SCC,CITATION
473,CITATION
–,CITATION
State,CITATION
Represented,CITATION
by,CITATION
Inspector,CITATION
of,CITATION
"Police,",CITATION
"Pudukottai,",CITATION
T.N.,CITATION
Vs.,CITATION
A.,CITATION
Parthiban,CITATION
.,O
In,O
view,O
of,O
the,O
settled,O
legal,O
"position,",O
we,O
find,O
no,O
valid,O
ground,O
to,O
interfere,O
with,O
the,O
impugned,O
order,O
of,O
,O
the,COURT
High,COURT
Court,COURT
.,O
"Consequently,",O
the,O
appeal,O
is,O
dismissed.,O
In,O
view,O
of,O
the,O
dismissal,O
of,O
the,O
"appeal,",O
the,O
appellant,O
shall,O
surrender,O
and,O
has,O
to,O
undergo,O
remaining,O
period,O
of,O
sentence.,O
His,O
bail,O
bonds,O
executed,O
pursuant,O
to,O
our,O
order,O
dated,O
05.07.2012,O
shall,O
stand,O
cancelled.,O
....................J,O
[,O
P.,JUDGE
SATHASIVAM,JUDGE
],O
,O
NEW,LOC_OF_JUDGMENT
DELHI,LOC_OF_JUDGMENT
....................J.,O
,O
JANUARY,DATE_OF_JUDGMENT
"21,",DATE_OF_JUDGMENT
2013,DATE_OF_JUDGMENT
[,O
JAGDISH,JUDGE
SINGH,JUDGE
KHEHAR,JUDGE
],O
Page,O
"3""",O
