token,nre
"""IN",O
,O
THE,COURT
SUPREME,COURT
COURT,COURT
OF,COURT
INDIA,COURT
CRIMINAL,O
APPELLATE,O
JURISDICTION,O
,O
CRIMINAL,CASE_NO
APPEAL,CASE_NO
NO.,CASE_NO
1320,CASE_NO
OF,CASE_NO
2006,CASE_NO
O,
STATE,PETITIONER_OR_APPELLANT
OF,PETITIONER_OR_APPELLANT
A.P.,PETITIONER_OR_APPELLANT
.....,O
APPELLANT,O
VERSUS,O
,O
GURENDAGANTA,RESPONDENT
ANASUYA,RESPONDENT
.....,O
RESPONDENT,O
O,O
R,O
D,O
E,O
R,O
We,O
have,O
heard,O
the,O
learned,O
counsel,O
for,O
the,O
parties.,O
The,O
respondent,O
herein,O
was,O
convicted,O
and,O
sentenced,O
by,O
the,O
Special,O
Judge,O
for,O
offences,O
punishable,O
under,O
,O
Section,LAW
7,LAW
and,LAW
13(2),LAW
read,LAW
with,LAW
13(1)(d),LAW
of,LAW
the,LAW
Prevention,LAW
of,LAW
Corruption,LAW
"Act,",LAW
1988,LAW
",",O
and,O
was,O
awarded,O
a,O
sentence,O
of,O
simple,O
,O
imprisonment,JUDGMENT
for,JUDGMENT
one,JUDGMENT
year,JUDGMENT
and,JUDGMENT
to,JUDGMENT
pay,JUDGMENT
a,JUDGMENT
fine,JUDGMENT
of,JUDGMENT
Rs.,JUDGMENT
1000/-,JUDGMENT
and,O
in,O
default,O
to,O
suffer,O
further,O
simple,O
imprisonment,O
for,O
six,O
months.,O
"She,",O
"thereupon,",O
filed,O
an,O
appeal,O
before,O
,O
the,COURT
High,COURT
Court,COURT
of,COURT
"Judicature,",COURT
Andhra,COURT
Pradesh,COURT
which,O
has,O
been,O
allowed,O
by,O
the,O
impugned,O
judgment.,O
,O
The,COURT
High,COURT
Court,COURT
has,O
recorded,O
a,O
finding,O
of,O
fact,O
on,O
an,O
appreciation,O
of,O
the,O
evidence,O
that,O
P.W.,O
1,O
–,O
the,O
complainant,O
was,O
a,O
busy,O
body,O
switching,O
political,O
and,O
personal,O
loyalties,O
without,O
the,O
slightest,O
"hesitation,",O
well-acquainted,O
with,O
the,O
ways,O
of,O
the,O
"world,",O
and,O
that,O
it,O
would,O
have,O
been,O
impossible,O
for,O
him,O
in,O
that,O
situation,O
to,O
have,O
gone,O
to,O
a,O
lady,O
doctor,O
who,O
was,O
a,O
Gynaecologist,O
to,O
seek,O
an,O
operation,O
for,O
an,O
ulcer,O
in,O
the,O
stomach.,O
,O
The,COURT
High,COURT
Court,COURT
has,O
also,O
found,O
that,O
the,O
defence,O
evidence,O
produced,O
by,O
the,O
accused,O
was,O
to,O
be,O
preferred,O
to,O
the,O
prosecution,O
evidence.,O
Another,O
significant,O
factor,O
which,O
weighed,O
with,O
,O
the,COURT
High,COURT
Court,COURT
was,O
that,O
the,O
amount,O
of,O
Rs.,O
150/-,O
which,O
represented,O
the,O
bribe,O
money,O
had,O
been,O
recovered,O
from,O
the,O
top,O
of,O
the,O
table,O
which,O
was,O
being,O
used,O
by,O
the,O
respondent,O
and,O
that,O
this,O
story,O
was,O
unacceptable,O
as,O
tainted,O
money,O
would,O
never,O
be,O
left,O
for,O
public,O
display,O
and,O
"would,",O
"ordinarily,",O
be,O
immediately,O
hidden,O
in,O
a,O
drawer,O
or,O
would,O
be,O
concealed,O
somewhere,O
else.,O
The,O
Court,O
also,O
found,O
that,O
the,O
respondent,O
had,O
accepted,O
the,O
position,O
that,O
the,O
sodium,O
carbonate,O
solution,O
had,O
turned,O
"pink,",O
after,O
her,O
hands,O
had,O
been,O
washed,O
but,O
had,O
pleaded,O
that,O
she,O
had,O
handled,O
the,O
money,O
inadvertently,O
as,O
it,O
was,O
lying,O
on,O
the,O
table,O
in,O
front,O
of,O
her.,O
In,O
any,O
"case,",O
,O
the,COURT
High,COURT
Court,COURT
has,O
given,O
cogent,O
reasons,O
for,O
recording,O
an,O
acquittal,O
and,O
we,O
would,O
be,O
hesitant,O
to,O
upset,O
the,O
judgment,O
in,O
appeal.,O
Dismissed.,O
..................J,O
[,O
HARJIT,JUDGE
SINGH,JUDGE
BEDI,JUDGE
],O
..................J,O
[,O
T.S.,JUDGE
THAKUR,JUDGE
],O
,O
NEW,LOC_OF_JUDGMENT
DELHI,LOC_OF_JUDGMENT
O,
NOVEMEBR,DATE_OF_JUDGMENT
"26,",DATE_OF_JUDGMENT
2009,DATE_OF_JUDGMENT
".""",O
