token,nre
"""IN",O
,O
THE,COURT
SUPREME,COURT
COURT,COURT
OF,COURT
INDIA,COURT
CRIMINAL,O
APPELLATE,O
JURISDICTION,O
,O
CRIMINAL,CASE_NO
APPEAL,CASE_NO
NO.,CASE_NO
716,CASE_NO
OF,CASE_NO
2010,CASE_NO
[arising,CASE_NO
out,CASE_NO
of,CASE_NO
SLP(CRL.),CASE_NO
No.,CASE_NO
171,CASE_NO
of,CASE_NO
2010],CASE_NO
O,
DHARMAN,PETITIONER_OR_APPELLANT
.....,O
APPELLANTS,O
VERSUS,O
,O
STATE,RESPONDENT
OF,RESPONDENT
KERALA,RESPONDENT
.....,O
RESPONDENT,O
O,O
R,O
D,O
E,O
R,O
1.,O
Leave,O
granted.,O
2.,O
The,O
instant,O
appeal,O
is,O
directed,O
against,O
the,O
judgment,O
and,O
order,O
dated,O
8th,O
"April,",O
2009,O
rendered,O
in,O
,O
Criminal,CASE_NO
Appeal,CASE_NO
No.,CASE_NO
340,CASE_NO
of,CASE_NO
2002,CASE_NO
by,O
,O
the,COURT
High,COURT
Court,COURT
of,COURT
Kerala,COURT
at,O
Ernakulam,O
by,O
which,O
the,O
conviction,O
and,O
sentence,O
of,O
the,O
appellant,O
recorded,O
under,O
,O
Section,LAW
55(1),LAW
of,LAW
the,LAW
Abkari,LAW
Act,LAW
has,O
been,O
set,O
aside,O
.,O
The,O
conviction,O
under,O
,O
Section,LAW
55(a),LAW
of,O
the,O
said,O
Act,O
was,O
maintained,O
and,O
was,O
sentenced,O
to,O
,O
rigorous,JUDGMENT
imprisonment,JUDGMENT
for,JUDGMENT
one,JUDGMENT
year,JUDGMENT
and,JUDGMENT
fine,JUDGMENT
of,JUDGMENT
Rs.,JUDGMENT
1,JUDGMENT
lakh,JUDGMENT
and,O
in,O
default,O
rigorous,O
imprisonment,O
for,O
six,O
months.,O
3.,O
This,O
Court,O
has,O
heard,O
the,O
learned,O
counsel,O
for,O
the,O
parties.,O
In,O
view,O
of,O
the,O
concurrent,O
findings,O
of,O
"fact,",O
this,O
Court,O
is,O
not,O
inclined,O
to,O
interfere,O
with,O
the,O
conviction,O
of,O
the,O
appellant,O
recorded,O
under,O
,O
Section,LAW
55(a),LAW
of,O
the,O
Act.,O
"However,",O
as,O
far,O
as,O
sentence,O
is,O
"concerned,",O
the,O
appellant,O
has,O
averred,O
that,O
he,O
is,O
a,O
poor,O
man,O
and,O
not,O
able,O
to,O
pay,O
fine,O
of,O
Rs.,O
1,O
lakh,O
and,O
"therefore,",O
the,O
sentence,O
imposed,O
on,O
him,O
in,O
default,O
of,O
fine,O
be,O
reduced,O
suitably.,O
4.,O
Having,O
regard,O
to,O
the,O
facts,O
of,O
the,O
case,O
and,O
the,O
fact,O
that,O
the,O
appellant,O
has,O
already,O
undergone,O
four,O
months,O
of,O
the,O
sentence,O
imposed,O
on,O
him,O
for,O
commission,O
of,O
offence,O
under,O
,O
Section,LAW
55(a),LAW
of,O
the,O
Act,O
and,O
that,O
the,O
default,O
sentence,O
imposed,O
on,O
him,O
be,O
reduced,O
as,O
he,O
is,O
not,O
in,O
a,O
position,O
to,O
pay,O
Rs.,O
1,O
lakh,O
fine,O
imposed,O
on,O
"him,",O
this,O
Court,O
has,O
heard,O
the,O
learned,O
counsel,O
for,O
the,O
parties.,O
5.,O
The,O
record,O
shows,O
that,O
the,O
appellant,O
was,O
intercepted,O
and,O
found,O
,O
transporting,CRIME
four,CRIME
bottles,CRIME
of,CRIME
750ml,CRIME
each,CRIME
and,CRIME
five,CRIME
bottles,CRIME
of,CRIME
180ml,CRIME
each,CRIME
of,CRIME
Indian,CRIME
Made,CRIME
Foreign,CRIME
Liquor,CRIME
kept,O
in,O
polythene,O
bag.,O
The,O
fact,O
that,O
the,O
appellant,O
is,O
poor,O
is,O
not,O
disputed,O
before,O
this,O
Court.,O
The,O
record,O
further,O
shows,O
that,O
on,O
June,O
"17,",O
2009,O
the,O
appellant,O
had,O
donated,O
one,O
kidney,O
as,O
a,O
result,O
of,O
which,O
he,O
frequently,O
complains,O
about,O
weakness,O
and,O
recurrent,O
urinary,O
infection.,O
Having,O
regard,O
to,O
the,O
feeble,O
health,O
of,O
the,O
"appellant,",O
this,O
Court,O
is,O
of,O
the,O
opinion,O
that,O
interest,O
of,O
justice,O
would,O
be,O
served,O
if,O
the,O
appellant,O
is,O
sentenced,O
to,O
imprisonment,O
to,O
that,O
which,O
he,O
has,O
already,O
undergone,O
and,O
default,O
sentence,O
imposed,O
on,O
him,O
is,O
reduced,O
to,O
one,O
month,O
for,O
commission,O
of,O
offence,O
punishable,O
under,O
,O
Section,LAW
55(a),LAW
of,O
the,O
Act.,O
6.,O
For,O
the,O
foregoing,O
"reasons,",O
the,O
appeal,O
partly,O
"succeeds,",O
the,O
conviction,O
of,O
the,O
appellant,O
under,O
,O
Section,LAW
55(a),LAW
of,LAW
the,LAW
Abkari,LAW
Act,LAW
is,O
maintained.,O
"However,",O
the,O
appellant,O
is,O
sentenced,O
to,O
imprisonment,O
already,O
undergone,O
whereas,O
default,O
sentence,O
of,O
six,O
months,O
imposed,O
him,O
is,O
reduced,O
to,O
one,O
month.,O
Subject,O
to,O
above,O
"modification,",O
the,O
appeal,O
stands,O
disposed,O
of.,O
..................J,O
[,O
J.M.,JUDGE
PANCHAL,JUDGE
..................J,O
[,O
DR.,JUDGE
B.S.,JUDGE
CHAUHAN,JUDGE
],O
,O
NEW,LOC_OF_JUDGMENT
DELHI,LOC_OF_JUDGMENT
O,
APRIL,DATE_OF_JUDGMENT
"01,",DATE_OF_JUDGMENT
2010,DATE_OF_JUDGMENT
".""",O
