token,nre
"""http://JUDIS.NIC.IN",O
,O
SUPREME,COURT
COURT,COURT
OF,COURT
INDIA,COURT
Page,O
1,O
of,O
2,O
CASE,O
NO.:,O
,O
Appeal,CASE_NO
(crl.),CASE_NO
374,CASE_NO
of,CASE_NO
2008,CASE_NO
PETITIONER:,O
,O
SUBODH,PETITIONER_OR_APPELLANT
KAURA,PETITIONER_OR_APPELLANT
&,PETITIONER_OR_APPELLANT
ANR,PETITIONER_OR_APPELLANT
RESPONDENT:,O
,O
STATE,RESPONDENT
OF,RESPONDENT
HARYANA,RESPONDENT
&,RESPONDENT
ORS,RESPONDENT
DATE,O
OF,O
JUDGMENT:,O
,O
22/02/2008,DATE_OF_JUDGMENT
BENCH:,O
,O
ALTAMAS,JUDGE
KABIR,JUDGE
&,O
,O
J.M.,JUDGE
PANCHAL,JUDGE
JUDGMENT:,O
JUDGMENT,O
O,O
R,O
D,O
E,O
R,O
,O
CRIMINAL,CASE_NO
APPEAL,CASE_NO
NO.,CASE_NO
374,CASE_NO
OF,CASE_NO
2008,CASE_NO
(Arising,CASE_NO
out,CASE_NO
of,CASE_NO
SLP(Cr.)No.,CASE_NO
4215/2006),CASE_NO
Leave,O
granted.,O
This,O
appeal,O
is,O
directed,O
against,O
the,O
order,O
passed,O
by,O
,O
the,COURT
High,COURT
Court,COURT
on,O
the,O
appellants’,O
application,O
under,O
,O
Sec.482,LAW
of,LAW
the,LAW
Code,LAW
of,LAW
Criminal,LAW
Procedure,LAW
for,O
quashing,O
of,O
the,O
FIR,O
No.,O
346,O
dated,O
"13.5.2003,",O
Police,O
"Station,",O
Section-5,O
"Panchkula,",O
for,O
the,O
offences,O
alleged,O
to,O
have,O
been,O
committed,O
under,O
,O
Sec.406/498-A,LAW
of,LAW
the,LAW
Indian,LAW
Penal,LAW
Code,LAW
.,O
The,O
said,O
petition,O
was,O
filed,O
on,O
behalf,O
of,O
five,O
of,O
the,O
seven,O
"accused,",O
"and,",O
as,O
will,O
appear,O
from,O
the,O
order,O
of,O
,O
the,COURT
High,COURT
Court,COURT
impugned,O
in,O
this,O
"appeal,",O
the,O
same,O
was,O
allowed,O
in,O
respect,O
of,O
petitioner,O
Nos.,O
1,O
and,O
"2,",O
who,O
are,O
admittedly,O
residents,O
of,O
"Nigeria,",O
and,O
petitioner,O
No.,O
5,O
who,O
is,O
the,O
uncle,O
of,O
the,O
husband,O
of,O
the,O
complainant.,O
The,O
petition,O
was,O
dismissed,O
as,O
far,O
as,O
the,O
petitioner,O
Nos.,O
3,O
and,O
"4,",O
,O
Subodh,PETITIONER_OR_APPELLANT
Kaura,PETITIONER_OR_APPELLANT
and,O
his,O
wife,O
Sonia,O
"Kaura,",O
are,O
concerned.,O
It,O
may,O
be,O
indicated,O
that,O
Sonia,O
Kaura,O
is,O
the,O
sister,O
of,O
the,O
accused,O
No.1,O
-,O
husband,O
of,O
the,O
"complainant,",O
and,O
,O
Subodh,PETITIONER_OR_APPELLANT
Kaura,PETITIONER_OR_APPELLANT
is,O
her,O
husband.,O
-2-,O
,O
The,COURT
High,COURT
Court,COURT
while,O
considering,O
the,O
petition,O
has,O
dealt,O
with,O
the,O
case,O
made,O
out,O
on,O
behalf,O
of,O
the,O
petitioner,O
"Nos.1,2",O
and,O
5,O
but,O
except,O
for,O
indicating,O
that,O
the,O
FIR,O
against,O
the,O
appellants,O
herein,O
would,O
"remain,",O
no,O
reason,O
has,O
been,O
given,O
as,O
to,O
why,O
such,O
order,O
was,O
required,O
to,O
be,O
passed,O
in,O
respect,O
of,O
the,O
appellants,O
herein.,O
Having,O
heard,O
learned,O
counsel,O
for,O
the,O
respective,O
"parties,",O
we,O
set,O
aside,O
the,O
order,O
of,O
,O
the,COURT
High,COURT
Court,COURT
",",O
as,O
far,O
as,O
it,O
dismisses,O
the,O
petition,O
of,O
the,O
appellants,O
under,O
,O
Sec.482,LAW
of,LAW
the,LAW
Code,LAW
of,LAW
Criminal,LAW
Procedure,LAW
",",O
and,O
remit,O
the,O
matter,O
to,O
,O
the,COURT
High,COURT
Court,COURT
for,O
fresh,O
consideration,O
of,O
the,O
said,O
petition,O
after,O
hearing,O
the,O
parties,O
and,O
in,O
accordance,O
with,O
law.,O
http://JUDIS.NIC.IN,O
,O
SUPREME,COURT
COURT,COURT
OF,COURT
INDIA,COURT
Page,O
2,O
of,O
2,O
-3-,O
We,O
make,O
it,O
clear,O
that,O
this,O
order,O
does,O
not,O
in,O
any,O
way,O
amount,O
to,O
any,O
expression,O
on,O
the,O
merits,O
of,O
the,O
matter.,O
The,O
interim,O
stay,O
granted,O
on,O
8.9.2006,O
by,O
this,O
Court,O
will,O
continue,O
till,O
the,O
disposal,O
of,O
the,O
matter,O
by,O
,O
the,COURT
High,COURT
Court,COURT
.,O
The,O
appeal,O
is,O
disposed,O
of,O
"accordingly.""",O
