token,nre
"""ITEM",O
NO.801,O
COURT,O
NO.4,O
SECTION,O
II,O
,O
S,COURT
U,COURT
P,COURT
R,COURT
E,COURT
M,COURT
E,COURT
C,COURT
O,COURT
U,COURT
R,COURT
T,COURT
O,COURT
F,COURT
I,COURT
N,COURT
D,COURT
I,COURT
A,COURT
RECORD,O
OF,O
PROCEEDINGS,O
SPECIAL,O
LEAVE,O
,O
PETITION,PETITION-DETAILS
(CRIMINAL),PETITION-DETAILS
Diary,PETITION-DETAILS
No(s).,PETITION-DETAILS
21569/2019,PETITION-DETAILS
(Arising,O
out,O
of,O
impugned,O
final,O
judgment,O
and,O
order,O
dated,O
20-06-,O
2019,O
in,O
CRMSTB,O
No.,O
1/2019,O
passed,O
by,O
,O
the,COURT
High,COURT
Court,COURT
Of,COURT
Judicature,COURT
At,COURT
Allahabad,COURT
),O
,O
SUNITA,PETITIONER_OR_APPELLANT
BHATI,PETITIONER_OR_APPELLANT
Petitioner(s),O
VERSUS,O
,O
THE,RESPONDENT
STATE,RESPONDENT
OF,RESPONDENT
UTTAR,RESPONDENT
PRADESH,RESPONDENT
&,RESPONDENT
ANR,RESPONDENT
.,O
Respondent(s),O
Date,O
:,O
,O
21-06-2019,DATE_OF_JUDGMENT
This,O
petition,O
was,O
mentioned,O
today.,O
CORAM,O
:,O
,O
HON'BLE,JUDGE
MR.,JUDGE
JUSTICE,JUDGE
DEEPAK,JUDGE
GUPTA,JUDGE
O,
HON'BLE,JUDGE
MR.,JUDGE
JUSTICE,JUDGE
SURYA,JUDGE
KANT,JUDGE
(VACATION,O
BENCH),O
For,O
Petitioner(s),O
,O
Mr.,ADVOCATE
Pai,ADVOCATE
"Amit,",ADVOCATE
Adv.,O
For,O
Respondent(s),O
UPON,O
hearing,O
the,O
counsel,O
the,O
Court,O
made,O
the,O
following,O
O,O
R,O
D,O
E,O
R,O
List,O
today,O
at,O
the,O
end,O
of,O
the,O
Board.,O
[,O
CHARANJEET,O
KAUR,O
],O
[,O
VIDYA,O
NEGI,O
],O
A.R.-CUM-P.S.,O
COURT,O
MASTER,O
Signature,O
Not,O
Verified,O
Digitally,O
signed,O
by,O
ARJUN,O
BISHT,O
Date:,O
2019.07.01,O
16:12:47,O
IST,O
Reason:,O
REVISED,O
ITEM,O
NO.24,O
COURT,O
NO.4,O
SECTION,O
II,O
,O
S,COURT
U,COURT
P,COURT
R,COURT
E,COURT
M,COURT
E,COURT
C,COURT
O,COURT
U,COURT
R,COURT
T,COURT
O,COURT
F,COURT
I,COURT
N,COURT
D,COURT
I,COURT
A,COURT
RECORD,O
OF,O
PROCEEDINGS,O
SPECIAL,O
LEAVE,O
,O
PETITION,PETITION-DETAILS
(CRIMINAL),PETITION-DETAILS
Diary,PETITION-DETAILS
No(s).,PETITION-DETAILS
21569/2019,PETITION-DETAILS
(Arising,O
out,O
of,O
impugned,O
final,O
judgment,O
and,O
order,O
dated,O
20-06-2019,O
in,O
CRMSTB,O
No.,O
1/2019,O
passed,O
by,O
,O
the,COURT
High,COURT
Court,COURT
Of,COURT
Judicature,COURT
At,COURT
Allahabad,COURT
),O
,O
SUNITA,PETITIONER_OR_APPELLANT
BHATI,PETITIONER_OR_APPELLANT
Petitioner(s),O
VERSUS,O
,O
THE,RESPONDENT
STATE,RESPONDENT
OF,RESPONDENT
UTTAR,RESPONDENT
PRADESH,RESPONDENT
&,RESPONDENT
ANR,RESPONDENT
.,O
Respondent(s),O
([,O
TO,O
BE,O
TAKEN,O
UP,O
AT,O
THE,O
END,O
OF,O
THE,O
BOARD,O
TODAY,O
I.E.,O
21-06-,O
2019.,O
],O
),O
Date,O
:,O
,O
21-06-2019,DATE_OF_JUDGMENT
This,O
petition,O
was,O
called,O
on,O
for,O
hearing,O
today.,O
CORAM,O
:,O
,O
HON'BLE,JUDGE
MR.,JUDGE
JUSTICE,JUDGE
DEEPAK,JUDGE
GUPTA,JUDGE
O,
HON'BLE,JUDGE
MR.,JUDGE
JUSTICE,JUDGE
SURYA,JUDGE
KANT,JUDGE
(VACATION,O
BENCH),O
For,O
Petitioner(s),O
Mr.,O
Sudhanshu,O
"Chaudhari,",O
Adv.,O
,O
Mr.,ADVOCATE
Pai,ADVOCATE
"Amit,",ADVOCATE
AOR,O
Mr.,O
Rahat,O
"Bansal,",O
Adv.,O
Mr.,O
Love,O
"Dishek,",O
Adv.,O
For,O
Respondent(s),O
UPON,O
hearing,O
the,O
counsel,O
the,O
Court,O
made,O
the,O
following,O
O,O
R,O
D,O
E,O
R,O
Permission,O
to,O
file,O
Special,O
Leave,O
Petition,O
is,O
granted.,O
The,O
High,O
Court,O
rejected,O
the,O
Bail,O
Petition,O
on,O
the,O
ground,O
that,O
there,O
are,O
45,O
cases,O
of,O
heinous,O
crime,O
pending,O
against,O
the,O
husband,O
of,O
the,O
petitioner.,O
Since,O
the,O
husband,O
of,O
the,O
petitioner,O
is,O
accused,O
in,O
a,O
murder,O
case,O
and,O
is,O
involved,O
in,O
45,O
other,O
cases,O
of,O
heinous,O
"crime,",O
we,O
are,O
not,O
inclined,O
to,O
grant,O
bail.,O
The,O
Special,O
Leave,O
Petition,O
is,O
dismissed,O
accordingly.,O
Pending,O
"applications,",O
if,O
"any,",O
stand,O
disposed,O
of.,O
(DEEPAK,O
SINGH),O
(VIDYA,O
NEGI),O
COURT,O
MASTER,O
(SH),O
COURT,O
MASTER,O
"(NSH)""",O
